strategy,start,end,days,key
Sub-A,2018-03-06,2018-03-21,12,0.399606
Sub-A,2018-03-28,2018-03-30,3,1.H11077
Sub-A,2018-04-04,2018-04-11,4,1.H11077
Sub-A,2018-04-24,2018-05-02,5,1.H11077
Sub-A,2018-05-03,2018-05-08,4,1.H00016
Sub-A,2018-05-14,2018-05-24,9,1.H00016
Sub-A,2018-05-25,2018-05-25,1,1.H20955
Sub-A,2018-05-29,2018-05-29,1,1.H20955
Sub-A,2018-06-07,2018-06-11,3,1.H00016
Sub-A,2018-06-28,2018-07-10,9,1.H11077
Sub-A,2018-07-16,2018-07-24,7,0.399606
Sub-A,2018-07-25,2018-08-01,6,1.H00016
Sub-A,2018-08-02,2018-08-03,2,1.H20955
Sub-A,2018-08-24,2018-08-27,2,1.H00905
Sub-A,2018-09-12,2018-09-13,2,1.H00852
Sub-A,2018-09-14,2018-09-17,2,1.H20955
Sub-A,2018-09-27,2018-10-12,7,1.H00016
Sub-A,2018-10-16,2018-10-31,12,1.H11077
Sub-A,2018-11-01,2018-11-01,1,0.399606
Sub-A,2018-11-07,2018-11-12,4,0.399606
Sub-A,2018-11-13,2018-11-27,11,1.H00852
Sub-A,2018-12-10,2018-12-12,3,1.H11077
Sub-A,2019-01-08,2019-01-10,3,1.H11077
Sub-A,2019-01-17,2019-02-15,17,1.H00016
Sub-A,2019-02-18,2019-03-18,21,0.399606
Sub-A,2019-03-20,2019-03-25,4,1.H00852
Sub-A,2019-03-28,2019-04-02,4,1.H11077
Sub-A,2019-04-04,2019-04-10,4,1.H00016
Sub-A,2019-04-11,2019-04-12,2,1.H20955
Sub-A,2019-04-15,2019-04-23,7,1.H00016
Sub-A,2019-05-14,2019-06-11,20,1.H11077
Sub-A,2019-06-13,2019-06-28,12,1.H00016
Sub-A,2019-07-01,2019-07-16,12,0.399606
Sub-A,2019-07-30,2019-08-06,6,0.399606
Sub-A,2019-08-09,2019-08-21,9,1.H11077
Sub-A,2019-08-23,2019-08-23,1,0.399606
Sub-A,2019-08-27,2019-09-24,20,1.H00852
Sub-A,2019-10-21,2019-10-23,3,1.H00016
Sub-A,2019-11-01,2019-11-06,4,0.399606
Sub-A,2019-11-08,2019-11-12,3,0.399606
Sub-A,2019-11-18,2019-12-05,14,1.H11077
Sub-A,2019-12-06,2019-12-09,2,1.H20955
Sub-A,2019-12-10,2019-12-13,4,1.H00905
Sub-A,2019-12-16,2020-01-17,24,1.H00852
Sub-A,2020-01-20,2020-02-03,5,0.399606
Sub-A,2020-02-05,2020-02-12,6,1.H11077
Sub-A,2020-02-13,2020-02-25,9,0.399606
Sub-A,2020-02-26,2020-03-04,6,1.H00852
Sub-A,2020-03-09,2020-03-11,3,1.H20955
Sub-A,2020-03-13,2020-03-19,5,1.H11077
Sub-A,2020-04-13,2020-05-11,18,1.H00016
Sub-A,2020-05-12,2020-05-25,10,0.399606
Sub-A,2020-06-09,2020-06-15,5,1.H00852
Sub-A,2020-06-16,2020-07-07,14,0.399606
Sub-A,2020-07-08,2020-07-09,2,1.H00016
Sub-A,2020-07-30,2020-08-05,5,1.H11077
Sub-A,2020-08-12,2020-08-18,5,1.H11077
Sub-A,2020-08-19,2020-08-21,3,1.H20955
Sub-A,2020-08-28,2020-09-03,5,1.H11077
Sub-A,2020-09-17,2020-09-21,3,1.H11077
Sub-A,2020-09-28,2020-10-09,4,1.H11077
Sub-A,2020-10-13,2020-10-27,11,0.399606
Sub-A,2020-11-04,2020-11-06,3,1.H11077
Sub-A,2020-11-13,2020-11-16,2,0.399606
Sub-A,2020-11-17,2020-11-19,3,1.H00905
Sub-A,2020-11-20,2020-12-04,11,1.H20955
Sub-A,2020-12-07,2020-12-10,4,1.H00016
Sub-A,2020-12-11,2021-01-19,27,0.399606
Sub-A,2021-02-24,2021-03-17,16,1.H20955
Sub-A,2021-04-02,2021-05-19,30,0.399606
Sub-A,2021-06-03,2021-06-08,4,0.399606
Sub-A,2021-06-09,2021-06-17,6,1.H00852
Sub-A,2021-07-05,2021-07-05,1,0.399606
Sub-A,2021-07-06,2021-07-07,2,1.H20955
Sub-A,2021-07-08,2021-07-12,3,1.H00852
Sub-A,2021-07-13,2021-07-13,1,0.399606
Sub-A,2021-07-14,2021-07-15,2,1.H00852
Sub-A,2021-07-16,2021-07-20,3,1.H11077
Sub-A,2021-07-21,2021-07-27,5,1.H00852
Sub-A,2021-07-28,2021-08-11,11,1.H11077
Sub-A,2021-08-12,2021-08-13,2,1.H00852
Sub-A,2021-08-19,2021-09-27,26,1.H20955
Sub-A,2021-10-14,2021-10-26,9,1.H00016
Sub-A,2021-10-27,2021-11-18,17,0.399606
Sub-A,2021-11-19,2021-12-07,13,1.H00852
Sub-A,2021-12-09,2022-01-20,30,1.H20955
Sub-A,2022-01-25,2022-02-11,9,1.H11077
Sub-A,2022-02-25,2022-03-07,7,1.H00852
Sub-A,2022-03-23,2022-03-24,2,0.399606
Sub-A,2022-04-08,2022-04-18,7,1.H20955
Sub-A,2022-04-25,2022-04-25,1,1.H00016
Sub-A,2022-05-13,2022-05-13,1,0.399606
Sub-A,2022-05-20,2022-06-10,15,1.H00852
Sub-A,2022-06-13,2022-06-23,9,0.399606
Sub-A,2022-06-28,2022-07-08,9,0.399606
Sub-A,2022-07-18,2022-08-19,25,1.H11077
Sub-A,2022-08-25,2022-09-07,10,1.H20955
Sub-A,2022-10-21,2022-10-26,4,0.399606
Sub-A,2022-10-28,2022-11-15,13,1.H00852
Sub-A,2022-11-16,2022-12-20,25,1.H00016
Sub-A,2022-12-26,2023-01-06,9,1.H11077
Sub-A,2023-01-11,2023-01-31,10,0.399606
Sub-A,2023-02-02,2023-02-06,3,0.399606
Sub-A,2023-02-07,2023-02-20,10,1.H00852
Sub-A,2023-02-24,2023-03-10,11,1.H20955
Sub-A,2023-03-16,2023-03-30,11,1.H11077
Sub-A,2023-04-04,2023-04-19,11,0.399606
Sub-A,2023-04-20,2023-04-21,2,1.H00016
Sub-A,2023-04-24,2023-04-27,4,1.H20955
Sub-A,2023-05-11,2023-05-16,4,1.H20955
Sub-A,2023-05-22,2023-05-22,1,0.399606
Sub-A,2023-05-26,2023-05-29,2,0.399606
Sub-A,2023-06-01,2023-06-01,1,1.H00852
Sub-A,2023-06-19,2023-06-20,2,1.H00852
Sub-A,2023-06-21,2023-06-21,1,1.H00016
Sub-A,2023-07-04,2023-07-06,3,0.399606
Sub-A,2023-07-19,2023-08-11,18,1.H00016
Sub-A,2023-08-18,2023-09-01,11,1.H11077
Sub-A,2023-09-14,2023-09-18,3,1.H00852
Sub-A,2023-10-10,2023-10-11,2,1.H00852
Sub-A,2023-10-20,2023-10-20,1,1.H00852
Sub-A,2023-10-25,2023-11-02,7,1.H11077
Sub-A,2023-11-09,2023-11-21,9,0.399606
Sub-A,2023-11-22,2023-11-28,5,1.H00852
Sub-A,2023-11-29,2023-12-06,6,1.H20955
Sub-A,2023-12-14,2023-12-27,10,1.H11077
Sub-A,2024-01-22,2024-01-24,3,1.H11077
Sub-A,2024-02-22,2024-02-22,1,1.H00016
Sub-A,2024-02-26,2024-03-04,6,0.399606
Sub-A,2024-03-05,2024-03-15,9,1.H00852
Sub-A,2024-04-10,2024-04-26,13,1.H20955
Sub-A,2024-05-08,2024-05-20,9,1.H00852
Sub-A,2024-05-21,2024-05-22,2,0.399606
Sub-A,2024-05-23,2024-05-27,3,1.H20955
Sub-A,2024-06-07,2024-07-09,22,1.H11077
Sub-A,2024-07-16,2024-07-16,1,1.H00016
Sub-A,2024-08-21,2024-08-21,1,1.H00852
Sub-A,2024-08-28,2024-08-30,3,1.H00016
Sub-A,2024-09-04,2024-09-11,6,0.399606
Sub-A,2024-09-26,2024-09-30,3,0.399606
Sub-A,2024-10-15,2024-10-24,8,0.399606
Sub-A,2024-10-28,2024-10-30,3,1.H00852
Sub-A,2024-11-15,2024-11-15,1,1.H00905
Sub-A,2024-11-18,2025-01-13,40,1.H11077
Sub-A,2025-02-06,2025-02-11,4,0.399606
Sub-A,2025-02-12,2025-03-04,15,1.H00852
Sub-A,2025-03-19,2025-04-03,12,1.H20955
Sub-A,2025-04-08,2025-04-28,15,1.H11077
Sub-A,2025-05-07,2025-05-27,15,0.399606
Sub-A,2025-06-11,2025-06-12,2,1.H00852
Sub-A,2025-06-17,2025-06-26,8,0.399606
Sub-A,2025-07-01,2025-08-04,25,0.399606
Sub-A,2025-08-05,2025-08-06,2,1.H00905
Sub-A,2025-08-07,2025-08-19,9,1.H00852
Sub-A,2025-08-20,2025-08-29,8,0.399606
Sub-A,2025-10-14,2025-10-16,3,1.H11077
Sub-A,2025-10-22,2025-11-04,10,1.H20955
Sub-A,2025-12-11,2025-12-22,8,0.399606
Sub-A,2025-12-23,2026-01-29,26,1.H00905
Sub-A,2026-02-06,2026-03-04,13,1.H20955
Sub-A,2026-04-08,2026-04-13,4,1.H11077
Sub-A,2026-04-16,2026-05-06,12,0.399606
Sub-A-DK,2010-11-23,2010-11-26,4,HS300/CYB_-1
Sub-A-DK,2010-11-29,2010-12-06,6,SZ50/CYB_-1
Sub-A-DK,2010-12-07,2010-12-08,2,HS300/CYB_-1
Sub-A-DK,2010-12-09,2010-12-09,1,SZ50/CYB_-1
Sub-A-DK,2010-12-10,2010-12-10,1,HS300/CYB_-1
Sub-A-DK,2010-12-13,2010-12-13,1,ZZ500/CYB_-1
Sub-A-DK,2010-12-14,2010-12-24,9,SZ50/ZZ500_1
Sub-A-DK,2010-12-27,2011-02-14,30,SZ50/CYB_1
Sub-A-DK,2011-02-15,2011-02-17,3,HS300/CYB_1
Sub-A-DK,2011-02-18,2011-02-21,2,ZZ500/CYB_1
Sub-A-DK,2011-02-22,2011-02-25,4,SZ50/ZZ500_-1
Sub-A-DK,2011-02-28,2011-03-07,6,SZ50/ZZ1000_-1
Sub-A-DK,2011-03-08,2011-03-17,8,ZZ500/CYB_1
Sub-A-DK,2011-03-18,2011-03-18,1,HS300/ZZ500_-1
Sub-A-DK,2011-03-21,2011-03-31,9,HS300/ZZ1000_-1
Sub-A-DK,2011-04-01,2011-04-01,1,ZZ1000/CYB_1
Sub-A-DK,2011-04-06,2011-04-21,12,SZ50/CYB_1
Sub-A-DK,2011-04-25,2011-04-27,3,SZ50/ZZ1000_1
Sub-A-DK,2011-04-28,2011-04-28,1,ZZ1000/CYB_-1
Sub-A-DK,2011-04-29,2011-05-10,7,SZ50/ZZ1000_1
Sub-A-DK,2011-05-11,2011-05-11,1,HS300/ZZ1000_1
Sub-A-DK,2011-05-12,2011-05-12,1,ZZ1000/CYB_-1
Sub-A-DK,2011-05-13,2011-05-18,4,SZ50/CYB_-1
Sub-A-DK,2011-05-19,2011-05-19,1,SZ50/ZZ500_-1
Sub-A-DK,2011-05-20,2011-05-27,6,SZ50/ZZ1000_-1
Sub-A-DK,2011-05-30,2011-05-30,1,ZZ500/CYB_-1
Sub-A-DK,2011-05-31,2011-06-08,6,SZ50/ZZ500_1
Sub-A-DK,2011-06-09,2011-06-16,6,ZZ500/CYB_-1
Sub-A-DK,2011-06-17,2011-08-08,37,SZ50/CYB_-1
Sub-A-DK,2011-08-09,2011-08-10,2,ZZ500/CYB_-1
Sub-A-DK,2011-08-11,2011-08-18,6,ZZ1000/CYB_-1
Sub-A-DK,2011-08-19,2011-08-19,1,ZZ500/CYB_-1
Sub-A-DK,2011-08-22,2011-08-29,6,HS300/CYB_-1
Sub-A-DK,2011-08-30,2011-08-31,2,SZ50/HS300_1
Sub-A-DK,2011-09-01,2011-09-02,2,SZ50/ZZ500_1
Sub-A-DK,2011-09-05,2011-10-10,20,SZ50/CYB_1
Sub-A-DK,2011-10-11,2011-10-12,2,HS300/CYB_1
Sub-A-DK,2011-10-13,2011-10-27,11,SZ50/CYB_1
Sub-A-DK,2011-10-28,2011-11-02,4,SZ50/ZZ1000_1
Sub-A-DK,2011-11-04,2011-11-07,2,ZZ1000/CYB_-1
Sub-A-DK,2011-11-08,2011-11-08,1,HS300/CYB_-1
Sub-A-DK,2011-11-09,2011-12-01,17,SZ50/CYB_-1
Sub-A-DK,2011-12-06,2011-12-06,1,ZZ500/CYB_1
Sub-A-DK,2011-12-07,2011-12-15,7,SZ50/CYB_1
Sub-A-DK,2011-12-16,2012-01-09,15,SZ50/ZZ1000_1
