date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,raw_return,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,same_side_overheat_tc,turnover,gross_exposure
2022-11-23,0.003741914865725615,9.31413867504058,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1509352907787285,1.0672192356635286,0.18018784997650708,0.003741914865725615,1.1509352907787285,34.237453628534574,1.0,False,False,False,393,34.237453628534574,1.0,False,0.003741914865725615,1.1509352907787285,0.028125908336876948,False,1.0,False,False,False,0.0,0.0,2.301870581557457
2022-11-24,-0.00763195323282595,9.243053604268615,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1509352907787285,1.1099527522309414,0.17643525377742145,-0.00763195323282595,1.1509352907787285,32.726173696806455,1.0,False,False,False,393,34.237453628534574,0.9558588688246205,False,-0.00763195323282595,1.1509352907787285,0.033906992591699714,False,1.0,False,False,False,0.0,0.0,2.301870581557457
2022-11-25,0.020556507569484683,9.433058505649916,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,True,False,True,,0.991035076694463,1.089664374857664,0.18936405691788993,0.020556507569484683,0.991035076694463,43.61962752684109,1.0,False,False,False,394,43.61962752684109,1.0,False,0.020556507569484683,0.991035076694463,0.031985673122310376,True,1.0,False,False,False,0.0,0.15990021408426547,1.982070153388926
2022-11-28,-0.011432445279282666,9.325215580467802,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.991035076694463,1.0561666414166544,0.19276850561127332,-0.011432445279282666,0.991035076694463,43.01744621141947,1.0,False,False,False,394,43.61962752684109,0.9861947167006165,False,-0.011432445279282666,0.991035076694463,0.019041641876512583,True,1.0,False,False,False,0.0,0.0,1.982070153388926
2022-11-29,0.02354771967923619,9.544803142905103,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.991035076694463,1.0375138789699876,0.20165083926836735,0.02354771967923619,0.991035076694463,47.35514505321327,1.0,False,False,False,394,47.35514505321327,1.0,False,0.02354771967923619,0.991035076694463,0.04129409232777537,True,1.0,False,False,False,0.0,0.0,1.982070153388926
2022-11-30,-0.0027978779542485732,9.518097948613926,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.991035076694463,0.991813377646446,0.1999100806926963,-0.0027978779542485732,0.991035076694463,49.07937083780206,1.0,False,False,False,394,49.07937083780206,1.0,False,-0.0027978779542485732,0.991035076694463,0.03686500316202379,True,1.0,False,False,False,0.0,0.0,1.982070153388926
2022-12-01,-0.005777436313541995,9.463107743889754,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.991035076694463,1.0004497987644851,0.20056093629311808,-0.005777436313541995,0.991035076694463,45.8585353535603,1.0,False,False,False,394,49.07937083780206,0.9343749638746184,False,-0.005777436313541995,0.991035076694463,0.02996969344824596,True,1.0,False,False,False,0.0,0.0,1.982070153388926
2022-12-02,-0.007142983019977955,9.395512925958927,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.991035076694463,0.9972031627719454,0.2016628679768788,-0.007142983019977955,0.991035076694463,40.576742277753965,1.0,False,False,False,394,49.07937083780206,0.8267575884754583,False,-0.007142983019977955,0.991035076694463,0.021927019398324532,True,1.0,False,False,False,0.0,0.0,1.982070153388926
2022-12-05,0.02590442347965083,9.638898271601501,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.991035076694463,0.9917542183468826,0.21141093352751716,0.02590442347965083,0.991035076694463,38.54450341161775,1.0,False,False,False,394,49.07937083780206,0.7853503978076647,False,0.02590442347965083,0.991035076694463,0.04762983553417033,True,1.0,False,False,False,0.0,0.0,1.982070153388926
2022-12-06,-0.0035158851868669627,9.60500901195066,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.991035076694463,0.946024865710023,0.20923437333509007,-0.0035158851868669627,0.991035076694463,34.45784071974555,1.0,False,False,False,394,49.07937083780206,0.7020839943857904,False,-0.0035158851868669627,0.991035076694463,0.0428405084621416,True,1.0,False,False,False,0.0,0.0,1.982070153388926
2022-12-07,-0.004286999991870544,9.56383233839451,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,True,False,True,,1.0396988933429196,1.118942217672485,0.1743432296525135,-0.004286999991870544,1.0396988933429196,37.432801657682894,1.0,False,False,False,395,37.432801657682894,1.0,False,-0.004286999991870544,1.0396988933429196,0.013226244338922943,True,1.0,False,False,False,0.0,0.04866381664845665,2.0793977866858393
2022-12-08,0.004029029306071852,9.60236529916426,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1471624128945153,1.1471624128945153,0.17366185733263534,0.004029029306071852,1.1471624128945153,35.03335946857263,1.0,False,False,False,395,37.432801657682894,0.9359000106096041,False,0.004029029306071852,1.1471624128945153,0.017252668714509922,True,1.0,False,False,False,0.0,0.10746351955159561,2.2943248257890305
2022-12-09,0.013407214216080376,9.731106267711212,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1471624128945153,1.1516633708282646,0.17510852298329876,0.013407214216080376,1.1471624128945153,37.412464533771946,1.0,False,False,False,395,37.432801657682894,0.9994567031317365,False,0.013407214216080376,1.1471624128945153,0.029186658708033053,True,1.0,False,False,False,0.0,0.0,2.2943248257890305
2022-12-12,-0.006955939798158561,9.663417278343529,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1471624128945153,1.1421488605616033,0.16886714484760426,-0.006955939798158561,1.1471624128945153,39.701984856155335,1.0,False,False,False,395,39.701984856155335,1.0,False,-0.006955939798158561,1.1471624128945153,0.023069306109646415,True,1.0,False,False,False,0.0,0.0,2.2943248257890305
2022-12-13,0.007448539453908776,9.735395623200855,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1471624128945153,1.184363010226127,0.1582715133793853,0.007448539453908776,1.1471624128945153,42.25957002408468,1.0,False,False,False,395,42.25957002408468,1.0,False,0.007448539453908776,1.1471624128945153,0.029776111591836574,True,1.0,False,False,False,0.0,0.0,2.2943248257890305
2022-12-14,0.009451460587759364,9.827409331239783,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.2636512770342272,1.2636512770342272,0.1594151047058378,0.009451460587759364,1.2636512770342272,45.61238578329203,1.0,False,False,False,395,45.61238578329203,1.0,False,0.009451460587759364,1.2636512770342272,0.03753187352390164,True,1.0,False,False,False,0.0,0.11648886413971193,2.5273025540684544
2022-12-15,-0.006396960136286878,9.764543785504868,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.2636512770342272,1.2545862599974567,0.15672078908843634,-0.006396960136286878,1.2636512770342272,45.84620321078057,1.0,False,False,False,395,45.84620321078057,1.0,False,-0.006396960136286878,1.2636512770342272,0.03234968517813264,True,1.0,False,False,False,0.0,0.0,2.5273025540684544
2022-12-16,0.012197722173695746,9.883648977753344,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.2636512770342272,1.2761548813229975,0.15492342822623187,0.012197722173695746,1.2636512770342272,46.91212821722121,1.0,False,False,False,395,46.91212821722121,1.0,False,0.012197722173695746,1.2636512770342272,0.042302200448377625,True,1.0,False,False,False,0.0,0.0,2.5273025540684544
2022-12-19,0.00858406013761881,9.968490814957493,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.2636512770342272,1.2909603298214112,0.15527579367501054,0.00858406013761881,1.2636512770342272,44.693638379093215,1.0,False,False,False,395,46.91212821722121,0.9527096739705448,False,0.00858406013761881,1.2636512770342272,0.04952390138558194,True,1.0,False,False,False,0.0,0.0,2.5273025540684544
2022-12-20,-0.009854458629586782,9.870256734622078,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.2636512770342272,1.288030769423059,0.15683132481884554,-0.009854458629586782,1.2636512770342272,43.152037593811045,1.0,False,False,False,395,46.91212821722121,0.9198482190788809,False,-0.009854458629586782,1.2636512770342272,0.04134100778155847,True,1.0,False,False,False,0.0,0.0,2.5273025540684544
2022-12-21,0.01077505705916848,9.976609314126273,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.2636512770342272,1.2752554391223707,0.1577875482484409,0.01077505705916848,1.2636512770342272,42.76199320457856,1.0,False,False,False,395,46.91212821722121,0.911533857653485,False,0.01077505705916848,1.2636512770342272,0.0500914556736084,True,1.0,False,False,False,0.0,0.0,2.5273025540684544
2022-12-22,0.020415746651934796,10.180289242328808,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.2636512770342272,1.2675271415276346,0.16219445166704882,0.020415746651934796,1.2636512770342272,41.79522159527468,1.0,False,False,False,395,46.91212821722121,0.8909257197146699,False,0.020415746651934796,1.2636512770342272,0.0669096257983367,True,1.0,False,False,False,0.0,0.0,2.5273025540684544
2022-12-23,0.0015636212129732652,10.196207358542317,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.2636512770342272,1.2330878025997958,0.14356113360832468,0.0015636212129732652,1.2636512770342272,42.91361867481885,1.0,False,False,False,395,46.91212821722121,0.9147659742937323,False,0.0015636212129732652,1.2636512770342272,0.06799892512234307,True,1.0,False,False,False,0.0,0.0,2.5273025540684544
2022-12-26,-0.024021173974233534,9.951282487705411,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.3931347222825399,1.3931347222825399,0.15037175548323053,-0.024021173974233534,1.3931347222825399,37.16934114693621,1.0,False,False,False,395,46.91212821722121,0.7923183739357945,False,-0.024021173974233534,1.3931347222825399,0.05024279376613394,True,1.0,False,False,False,0.0,0.12948344524831268,2.7862694445650797
2022-12-27,0.003210597841275087,9.983232053778357,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.3931347222825399,1.3300370096583998,0.15012278345206956,0.003210597841275087,1.3931347222825399,35.1506735814761,1.0,False,False,False,395,46.91212821722121,0.7492875492391851,False,0.003210597841275087,1.3931347222825399,0.052657034515947054,True,1.0,False,False,False,0.0,0.0,2.7862694445650797
2022-12-28,0.00867785389860698,10.069865082976936,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.3931347222825399,1.3322428175191343,0.15039588364749004,0.00867785389860698,1.3931347222825399,33.19965303508481,1.0,False,False,False,395,46.91212821722121,0.7076987187909625,False,0.00867785389860698,1.3931347222825399,0.059172788864933046,True,1.0,False,False,False,0.0,0.0,2.7862694445650797
2022-12-29,-0.007458418556468671,9.994759814380924,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.3931347222825399,1.3298236304710047,0.14949459575780102,-0.007458418556468671,1.3931347222825399,30.536229934892276,1.0,False,False,False,395,46.91212821722121,0.650923995464409,False,-0.007458418556468671,1.3931347222825399,0.05345700083183791,True,1.0,False,False,False,0.0,0.0,2.7862694445650797
2022-12-30,0.001830293738329658,10.013053160685294,SZ50/ZZ1000,1,SZ50/ZZ1000_1,SZ50,ZZ1000,SZ50,ZZ1000,True,False,True,,0.9807885866052871,1.0405670601032058,0.19223755746847296,0.001830293738329658,0.9807885866052871,29.91765685944258,1.0,False,False,False,396,29.91765685944258,1.0,False,0.001830293738329658,0.9807885866052871,0.0642147293048364,True,1.0,False,False,False,0.0,0.41234613567725276,1.9615771732105742
2023-01-03,-0.0198874847998064,9.813918718152511,SZ50/ZZ1000,1,SZ50/ZZ1000_1,SZ50,ZZ1000,SZ50,ZZ1000,False,False,False,,0.9807885866052871,1.0403794275881812,0.1951621798713708,-0.0198874847998064,0.9807885866052871,25.24189558754435,1.0,False,False,False,396,29.91765685944258,0.84371231698172,False,-0.0198874847998064,0.9807885866052871,0.043525231721643576,True,1.0,False,False,False,0.0,0.0,1.9615771732105742
2023-01-04,0.003930365932411695,9.852491009945796,SZ50/ZZ1000,1,SZ50/ZZ1000_1,SZ50,ZZ1000,SZ50,ZZ1000,False,False,False,,0.9807885866052871,1.024788717423723,0.1867012972276665,0.003930365932411695,0.9807885866052871,21.74919499729971,1.0,False,False,False,396,29.91765685944258,0.7269685289687134,False,0.003930365932411695,0.9807885866052871,0.047903688107191145,True,1.0,False,False,False,0.0,0.0,1.9615771732105742
