date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,return_before_dk_execution_cost,dk_execution_turnover,dk_execution_cost,actual_position,actual_direction,scale_rebalanced,raw_return,return_before_dk_overlay,dk_overlay_execution_cost,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,return_before_dk_overheat,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,same_side_overheat_tc,dk_total_overlay_scale,risk_gate_scale,risk_gate_on,risk_gate_base_dd
2012-06-06,0.0,1.5267480900659265,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,57,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,1.0,False,-0.04664417501745988
2012-06-07,0.0,1.5267480900659265,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,57,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,1.0,False,-0.04664417501745988
2012-06-08,0.0,1.5267480900659265,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,57,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,1.0,False,-0.04664417501745988
2012-06-11,0.0,1.5267480900659265,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,57,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,1.0,False,-0.04664417501745988
2012-06-12,0.0,1.5267480900659265,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,57,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,1.0,False,-0.04664417501745988
2012-06-13,0.0,1.5267480900659265,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,57,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,1.0,False,-0.04664417501745988
2012-06-14,0.00014612334878782995,1.5269711836096023,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,True,True,True,SZ50/CYB_-1,1.2944704001444578,1.283372888772868,0.1546527900092378,0.0014424609719637957,2.5889408002889156,0.0012944704001444578,SZ50/CYB_-1,-1,True,0.0014424609719637957,0.0014424609719637957,0.0,1.2944704001444578,40.866593045691026,1.0,False,False,False,58,40.866593045691026,1.0,False,0.0014424609719637957,0.0014424609719637957,1.2944704001444578,0.046427100935244825,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.04650486747172711
2012-06-15,-0.007450517883236585,1.515594457498932,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,1.2944704001444578,1.2932194756270063,0.1508985824216194,-0.007450517883236615,0.0,0.0,SZ50/CYB_-1,-1,False,-0.007450517883236615,-0.007450517883236615,0.0,1.2944704001444578,42.7426387615756,1.0,False,False,False,58,42.7426387615756,1.0,False,-0.007450517883236615,-0.007450517883236615,1.2944704001444578,0.04757271419033404,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.05360890000820806
2012-06-18,0.013739578033818756,1.5364180858153618,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,1.2944704001444578,1.3253934980064186,0.11870971132134978,0.01373957803381866,0.0,0.0,SZ50/CYB_-1,-1,False,0.01373957803381866,0.01373957803381866,0.0,1.2944704001444578,44.38690939909146,1.0,False,False,False,58,44.38690939909146,1.0,False,0.01373957803381866,0.01373957803381866,1.2944704001444578,0.042476831511132684,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.040605885639359296
2012-06-19,-0.0015485007792138683,1.5340389412122784,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,True,SZ50/CYB_-1,1.5,1.5,0.1187719236734749,-0.0013432472564293696,0.4110591997110844,0.0002055295998555422,SZ50/CYB_-1,-1,True,-0.0013432472564293696,-0.0013432472564293696,0.0,1.5,44.98993867674524,1.0,False,False,False,58,44.98993867674524,1.0,False,-0.0013432472564293696,-0.0013432472564293696,1.5,0.05298310422713759,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.04209150817301999
