ma_window,slope_window,segment,start,end,rows,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,total_return,final_nav,mode,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,target_vol,vol_window,scale_threshold
60,20,last_5y,2021-05-06,2026-05-06,1211,0.6909867147996362,0.20620402550853967,0.36499849268054163,0.18212932386081246,1.8107766366434406,-0.16865053278119013,2.164229704237558,3.7377088270305636,4.737708827030564,formal,20,0.2,1.03,0.5,,0.225,160,0.15
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6858566593338172,0.22528776279995674,0.33207023719366036,0.18442029734110393,1.6543685155682097,-0.1686505327811897,1.9689842167560443,16.61094470726369,17.61094470726369,formal,20,0.2,1.03,0.5,,0.225,160,0.15
60,20,full_common,2010-09-29,2026-05-06,3786,0.691262451798892,0.22079906529938456,0.3370584247807118,0.20119050205882824,1.5521599764632124,-0.23859270397517496,1.4126937629064382,91.8924765311289,92.8924765311289,formal,20,0.2,1.03,0.5,,0.225,160,0.15
60,20,last_1y,2025-05-06,2026-05-06,243,0.72022985240116,0.18069375018246062,1.1234606685006288,0.20093692712306607,3.8648900920805342,-0.062068609892664495,18.100303364992932,1.1223664494952206,2.1223664494952206,formal,20,0.2,1.03,0.5,,0.225,160,0.2
60,20,last_3y,2023-05-04,2026-05-06,727,0.5955623716863275,0.17464687539641888,0.4947307221744175,0.19341620740173596,2.1914919054831734,-0.12648484870811094,3.9113832781356086,2.347836341103365,3.347836341103365,formal,20,0.2,1.03,0.5,,0.225,160,0.2
60,20,last_5y,2021-05-06,2026-05-06,1211,0.7052839341172255,0.2110596848994191,0.36964405701856373,0.18604051113137435,1.7948298417140707,-0.17409490657398063,2.1232330358929,3.8188685993597202,4.81886859935972,formal,20,0.2,1.03,0.5,,0.225,160,0.2
60,20,last_10y,2016-05-04,2026-05-06,2429,0.69514012906859,0.22842544156924136,0.33800896045682327,0.18667062172064572,1.6605236576039801,-0.17409490657398086,1.941521249004421,17.41236422835414,18.41236422835414,formal,20,0.2,1.03,0.5,,0.225,160,0.2
60,20,full_common,2010-09-29,2026-05-06,3786,0.6920517016025577,0.2211737346359079,0.33167103935340747,0.20039472593865562,1.5372010290235163,-0.23840735701269533,1.391194648979502,86.22210342821779,87.22210342821779,formal,20,0.2,1.03,0.5,,0.225,160,0.2
60,20,last_1y,2025-05-06,2026-05-06,243,0.7039035863472384,0.17579124192092627,1.0724081123243594,0.1954076735202554,3.84348480872592,-0.059453456476500466,18.037775696829986,1.0713747032972298,2.07137470329723,formal,20,0.2,1.03,0.5,,0.25,100,0.1
60,20,last_3y,2023-05-04,2026-05-06,727,0.5812071155177726,0.16925173911323182,0.4680982852366582,0.18388734672075474,2.1971359309629,-0.12185343995287545,3.841486013178508,2.171703878070102,3.171703878070102,formal,20,0.2,1.03,0.5,,0.25,100,0.1
60,20,last_5y,2021-05-06,2026-05-06,1211,0.6845619642042129,0.2041238508414137,0.3523070855225048,0.17781888764546042,1.7975697131701593,-0.16767472628271085,2.101134102515196,3.5215454600529608,4.521545460052961,formal,20,0.2,1.03,0.5,,0.25,100,0.1
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6913135642303948,0.2277739048471986,0.3211397505711695,0.18238269229232482,1.6255110530948726,-0.16767472628271018,1.9152543599785432,15.21751498817396,16.21751498817396,formal,20,0.2,1.03,0.5,,0.25,100,0.1
60,20,full_common,2010-09-29,2026-05-06,3786,0.697820021528469,0.223812290806164,0.32568344599591326,0.2001268948564009,1.516577653783433,-0.24009657083623015,1.3564685445593552,80.3008189649751,81.3008189649751,formal,20,0.2,1.03,0.5,,0.25,100,0.1
