rank_by_sharpe,rule,target_vol,vol_window,max_lev,signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio,avg_weight,max_weight
14,target_vol,0.4,40.0,1.0,orig_tv40_w40_max1p0,5Y,2021-05-10,2026-05-08,1211,1.5328560269592324,0.2045412462045082,0.21543338404332668,0.9745042636558319,-0.29840042031663205,2024-09-23,174.12702452101615,139,261,0.21552436003303055,0.7735982389191709,1.0
15,target_vol,0.35,60.0,1.0,orig_tv35_w60_max1p0,5Y,2021-05-10,2026-05-08,1211,1.5353513659145492,0.20477878529222204,0.21596000974948382,0.9735976978800842,-0.29840042031663205,2024-09-23,173.3330228820376,141,261,0.21552436003303055,0.7731377890876252,1.0
16,target_vol,0.3,80.0,1.0,orig_tv30_w80_max1p0,5Y,2021-05-10,2026-05-08,1211,1.5243743498392424,0.20373244717583106,0.21515976236645187,0.9723468180200241,-0.29840042031663205,2024-09-23,173.24968634908817,146,261,0.21552436003303055,0.7715225568508699,1.0
17,target_vol,0.25,20.0,1.0,orig_tv25_w20_max1p0,5Y,2021-05-10,2026-05-08,1211,1.3418239495971496,0.185774267703386,0.1962365995727474,0.9706136852264,-0.2981049090768617,2024-09-23,174.61713089008978,196,261,0.21552436003303055,0.7620924492237262,1.0
18,target_vol,0.35,20.0,1.0,orig_tv35_w20_max1p0,5Y,2021-05-10,2026-05-08,1211,1.4348416911503308,0.1950594000423369,0.2070903612601408,0.9674370672773522,-0.29840042031663205,2024-09-23,175.71377270097844,154,261,0.21552436003303055,0.7705462417722396,1.0
19,target_vol,0.2,40.0,1.0,orig_tv20_w40_max1p0,5Y,2021-05-10,2026-05-08,1211,1.2836551658202615,0.1798168191217342,0.1909584981533689,0.965779486792338,-0.30590593563835633,2024-09-23,173.1780639799835,378,261,0.21552436003303055,0.7421745342708136,1.0
20,target_vol,0.4,20.0,1.0,orig_tv40_w20_max1p0,5Y,2021-05-10,2026-05-08,1211,1.4696247270528264,0.1984586633732115,0.21130437887880305,0.9655180979269166,-0.29840042031663205,2024-09-23,176.04772955116962,144,261,0.21552436003303055,0.7733920287236737,1.0
1,target_vol,0.2,60.0,1.0,orig_tv20_w60_max1p0,3Y,2023-05-08,2026-05-08,727,1.0269734256546856,0.2654918544293776,0.21630604509783247,1.202046240515561,-0.2715100658817363,2024-09-23,111.16600034176591,242,160,0.2200825309491059,0.7298457363272511,1.0
2,target_vol,0.25,60.0,1.0,orig_tv25_w60_max1p0,3Y,2023-05-08,2026-05-08,727,1.0838055914719296,0.27720758490676345,0.22842104025580182,1.1898626986254373,-0.27183571856884803,2024-09-23,112.15758541281191,145,160,0.2200825309491059,0.7488880493885869,1.0
3,target_vol,0.25,40.0,1.0,orig_tv25_w40_max1p0,3Y,2023-05-08,2026-05-08,727,1.0380624368694003,0.267794851648101,0.22181201473983495,1.1854986962857155,-0.27183571856884803,2024-09-23,112.91898025139776,134,160,0.2200825309491059,0.7451206583714958,1.0
4,target_vol,0.3,40.0,1.0,orig_tv30_w40_max1p0,3Y,2023-05-08,2026-05-08,727,1.0822053309614188,0.2768806315000105,0.22987594398778177,1.1825425704348043,-0.27183571856884803,2024-09-23,113.50203052476311,124,160,0.2200825309491059,0.754541841766769,1.0
5,target_vol,0.2,120.0,1.0,orig_tv20_w120_max1p0,3Y,2023-05-08,2026-05-08,727,1.0321472392792255,0.26656740928246614,0.22249036071046213,1.1773821608060233,-0.27183571856884803,2024-09-23,104.7783096776279,241,160,0.2200825309491059,0.7042462004172132,1.0
6,target_vol,0.2,80.0,1.0,orig_tv20_w80_max1p0,3Y,2023-05-08,2026-05-08,727,1.0154667687914167,0.26309322122000256,0.22163819798401885,1.1691469419842342,-0.27184485475326703,2024-09-23,110.6035654274689,204,160,0.2200825309491059,0.7303996772170825,1.0
7,target_vol,0.3,60.0,1.0,orig_tv30_w60_max1p0,3Y,2023-05-08,2026-05-08,727,1.1048084131000566,0.2814832928284543,0.2371054383975554,1.1683068388245677,-0.27183571856884803,2024-09-23,112.85687675603224,103,160,0.2200825309491059,0.7574413785637031,1.0
