date,1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.950175,1.000852,1.000016,1.000300,1.000905,0.399006,1.000001
2005-11-08,,,784.16,853.99,859.69,,846.56,758.32,881.52,848.97,,1110.15
2005-11-09,,,781.94,850.17,855.79,,842.77,756.17,879.25,845.11,,1108.15
2005-11-10,,,771.78,823.17,831.64,,816.01,746.35,862.97,821.27,,1088.3
2005-11-11,,,771.88,829.89,834.36,,822.67,746.45,864.79,823.96,,1090.19
2005-11-14,,,768.67,834.74,838.04,,827.48,743.35,862.15,827.57,,1088.65
2005-11-15,,,764.42,828.27,830.87,,821.06,739.23,856.64,820.49,,1087.51
2005-11-16,,,769.49,834.85,837.15,,827.59,744.14,863.12,826.69,,1095.89
2005-11-17,,,769.14,835.92,836.25,,828.65,743.8,862.66,825.8,,1095.31
2005-11-18,,,786.48,856.22,854.41,,848.78,760.57,882.24,843.74,,1117.0
2005-11-21,,,784.4,862.94,857.67,,855.43,758.56,883.87,846.96,,1119.94
2005-11-22,,,772.77,840.9,842.3,,833.59,747.31,869.62,831.77,,1098.66
2005-11-23,,,779.85,848.69,848.72,,841.31,754.16,876.23,838.12,,1105.75
2005-11-24,,,787.61,852.89,852.35,,845.48,761.2,881.49,841.7,,1113.37
2005-11-25,,,792.8,854.78,851.77,,847.34,766.68,884.1,841.13,,1114.92
2005-11-28,,,788.9,853.86,848.95,,846.43,762.91,880.17,838.34,,1110.82
2005-11-29,,,781.03,842.64,837.47,,835.31,755.29,871.31,827.01,,1096.99
2005-11-30,,,785.52,846.6,840.0,,839.24,759.63,873.83,829.5,,1099.26
2005-12-01,,,784.79,842.72,838.67,,835.39,758.94,873.07,828.19,,1098.75
2005-12-02,,,782.81,828.92,828.21,,821.72,757.02,869.94,817.86,,1094.29
2005-12-05,,,776.95,801.29,807.01,,794.32,751.35,859.61,796.93,,1079.2
2005-12-06,,,786.1,803.98,808.99,,796.99,760.2,866.08,798.88,,1087.79
2005-12-07,,,793.69,812.6,816.99,,805.53,767.54,873.84,806.78,,1099.61
2005-12-08,,,791.64,809.58,815.75,,802.54,765.56,874.06,805.56,,1098.32
2005-12-09,,,803.51,824.12,829.56,,816.96,777.03,887.36,819.2,,1113.48
2005-12-12,,,801.1,830.55,834.95,,823.32,774.71,888.52,824.52,,1116.37
2005-12-13,,,799.95,829.75,835.3,,822.53,773.59,889.1,824.86,,1117.85
2005-12-14,,,805.02,839.09,843.05,,831.8,778.49,898.15,832.51,,1125.39
2005-12-15,,,804.75,831.84,838.01,,824.61,778.23,896.43,827.54,,1123.56
2005-12-16,,,808.69,839.26,845.1,,831.96,782.04,902.56,834.54,,1127.51
2005-12-19,,,808.44,841.34,845.27,,834.02,781.8,902.91,834.71,,1131.75
2005-12-20,,,814.06,842.33,846.7,,835.01,787.23,907.32,836.12,,1136.34
2005-12-21,,,810.7,830.59,841.28,,823.37,783.98,903.14,830.77,,1130.76
2005-12-22,,,814.22,834.16,846.07,,826.91,787.39,908.75,835.5,,1135.24
2005-12-23,,,818.41,842.04,856.29,,834.72,791.44,915.89,845.59,,1144.87
2005-12-26,,,822.66,848.59,863.96,,841.21,795.56,922.38,853.17,,1156.82
2005-12-27,,,819.14,849.31,865.34,,841.93,792.16,919.36,854.53,,1154.29
2005-12-28,,,820.58,851.48,868.05,,844.07,793.54,920.92,857.21,,1157.03
2005-12-29,,,829.22,859.86,877.71,,852.39,801.9,932.03,866.75,,1169.86
2005-12-30,1000.0,,823.53,850.13,871.01,,842.74,796.4,923.45,860.13,,1161.06
2006-01-04,1011.17,,840.28,860.01,882.76,,852.53,812.6,941.43,871.73,,1180.96
2006-01-05,1031.95,,856.04,873.29,893.9,,865.7,827.84,959.13,882.73,,1197.27
2006-01-06,1044.73,,865.41,880.48,903.23,,872.82,836.9,970.03,891.94,,1209.42
2006-01-09,1053.05,,866.85,894.44,916.52,,886.66,838.29,975.25,905.07,,1215.67
2006-01-10,1053.16,,867.13,896.95,922.72,,889.15,838.56,978.15,911.19,,1220.62
2006-01-11,1052.34,,860.63,888.64,918.08,,880.91,832.28,973.48,906.5,,1211.05
2006-01-12,1065.69,,865.08,907.7,939.27,,899.81,836.58,983.72,927.42,,1226.7
2006-01-13,1063.32,,859.45,912.55,944.42,,904.61,831.14,978.81,932.5,,1221.46
2006-01-16,1046.3,,842.66,900.63,932.09,,892.8,814.89,961.44,920.33,,1202.87
2006-01-17,1047.81,,846.24,899.36,931.12,,891.54,818.36,964.29,919.28,,1208.44
2006-01-18,1068.68,,863.6,916.83,951.23,,908.86,835.15,983.62,939.14,,1233.35
2006-01-19,1085.45,,869.23,922.33,962.15,,914.31,840.59,991.22,949.91,,1251.58
2006-01-20,1090.69,,869.01,916.63,965.04,,908.66,840.38,993.34,952.77,,1255.31
2006-01-23,1097.76,,868.75,917.71,973.45,,909.73,840.13,996.16,961.07,,1255.77
2006-01-24,1098.71,,867.03,911.77,972.72,,903.84,838.46,999.09,960.35,,1252.06
2006-01-25,1103.18,,875.85,895.51,970.12,,887.72,846.99,1009.6,957.79,,1258.05
2006-02-06,1131.56,,890.41,917.45,993.54,,909.47,861.07,1033.23,980.91,,1287.63
2006-02-07,1121.4,,885.86,923.28,994.22,,915.25,856.67,1029.94,981.57,,1282.1
2006-02-08,1126.65,,891.96,932.82,995.6,,924.71,862.58,1033.07,982.94,,1290.06
2006-02-09,1115.86,,879.79,922.42,982.07,,914.4,850.8,1019.6,969.58,,1269.45
2006-02-10,1128.34,,889.27,933.2,993.44,,925.09,859.97,1032.34,980.8,,1282.66
2006-02-13,1126.9,,888.89,934.6,989.99,,926.47,859.6,1031.61,977.4,,1279.64
