variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
pair_score_decay37_rec85_x0p00,0.37,0.85,0.0,30.013242971067577,20.18295512789027,1.2500367208720888,-21.394062593508337,1.4028772160447256,1712.6362363131896,64.66165413533834,622,445,66,0.02459016393442623,30,30,0.9754098360655737,-0.1838277194195186,1.01487165560604,0.0004538125207163013,0.05533117236437901
pair_score_decay37_rec90_x0p00,0.37,0.9,0.0,30.013242971067577,20.18295512789027,1.2500367208720888,-21.394062593508337,1.4028772160447256,1712.6362363131896,64.66165413533834,622,445,66,0.02459016393442623,30,30,0.9754098360655737,-0.1838277194195186,1.01487165560604,0.0004538125207163013,0.05533117236437901
pair_score_decay43_rec70_x0p00,0.43,0.7,0.0,30.080414722110493,20.135995906359145,1.2550369096372131,-21.46316898498519,1.4014899078115444,1723.0011717861632,64.66165413533834,626,445,91,0.03390461997019374,36,36,0.9660953800298062,-0.11665596837660175,0.9457652641291858,0.005454001285840615,0.05394386413119778
pair_score_decay43_rec75_x0p00,0.43,0.75,0.0,30.080414722110493,20.135995906359145,1.2550369096372131,-21.46316898498519,1.4014899078115444,1723.0011717861632,64.66165413533834,626,445,91,0.03390461997019374,36,36,0.9660953800298062,-0.11665596837660175,0.9457652641291858,0.005454001285840615,0.05394386413119778
pair_score_decay43_rec80_x0p00,0.43,0.8,0.0,30.080414722110493,20.135995906359145,1.2550369096372131,-21.46316898498519,1.4014899078115444,1723.0011717861632,64.66165413533834,626,445,91,0.03390461997019374,36,36,0.9660953800298062,-0.11665596837660175,0.9457652641291858,0.005454001285840615,0.05394386413119778
pair_score_decay43_rec85_x0p00,0.43,0.85,0.0,30.080414722110493,20.135995906359145,1.2550369096372131,-21.46316898498519,1.4014899078115444,1723.0011717861632,64.66165413533834,626,445,91,0.03390461997019374,36,36,0.9660953800298062,-0.11665596837660175,0.9457652641291858,0.005454001285840615,0.05394386413119778
pair_score_decay43_rec90_x0p00,0.43,0.9,0.0,30.080414722110493,20.135995906359145,1.2550369096372131,-21.46316898498519,1.4014899078115444,1723.0011717861632,64.66165413533834,626,445,91,0.03390461997019374,36,36,0.9660953800298062,-0.11665596837660175,0.9457652641291858,0.005454001285840615,0.05394386413119778
pair_score_decay42_rec70_x0p00,0.42,0.7,0.0,30.079289466899063,20.137828357256193,1.2548982412348828,-21.463168984985177,1.4014374805482543,1722.8270963430682,64.66165413533834,626,445,89,0.03315946348733234,36,36,0.9668405365126677,-0.11778122358803245,0.9457652641292,0.005315332883510271,0.05389143686790776
pair_score_decay42_rec75_x0p00,0.42,0.75,0.0,30.079289466899063,20.137828357256193,1.2548982412348828,-21.463168984985177,1.4014374805482543,1722.8270963430682,64.66165413533834,626,445,89,0.03315946348733234,36,36,0.9668405365126677,-0.11778122358803245,0.9457652641292,0.005315332883510271,0.05389143686790776
pair_score_decay42_rec80_x0p00,0.42,0.8,0.0,30.079289466899063,20.137828357256193,1.2548982412348828,-21.463168984985177,1.4014374805482543,1722.8270963430682,64.66165413533834,626,445,89,0.03315946348733234,36,36,0.9668405365126677,-0.11778122358803245,0.9457652641292,0.005315332883510271,0.05389143686790776
pair_score_decay42_rec85_x0p00,0.42,0.85,0.0,30.079289466899063,20.137828357256193,1.2548982412348828,-21.463168984985177,1.4014374805482543,1722.8270963430682,64.66165413533834,626,445,89,0.03315946348733234,36,36,0.9668405365126677,-0.11778122358803245,0.9457652641292,0.005315332883510271,0.05389143686790776
