date,sz50,zz1000,spread_close,score,base_gross_exposure,base_nav,base_target_vol_scale,base_realized_vol,base_nav_defense_gate,base_decay_gate,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,decay_gate,overheat_gate,overheat_indicator,overheat_scale
2025-11-11,3034.633,7540.791,1.515796995221203,-8.794807347169826,0.0,3.1873673818491737,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4539962238005932,0,0,0,0.132285424003938,1.0
2025-11-12,3044.301,7486.377,1.5316786769260937,-8.479997387319845,0.0,3.1873673818491737,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4539962238005932,0,0,0,0.11892564881402128,1.0
2025-11-13,3073.666,7590.576,1.5252242787433004,-7.688367827242284,0.0,3.1873673818491737,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4539962238005932,0,0,0,0.1238040192289767,1.0
2025-11-14,3038.426,7502.757,1.525385285407398,-5.8915080732289615,0.0,3.1873673818491737,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4539962238005932,0,0,0,0.11012813974317692,1.0
2025-11-17,3012.071,7523.076,1.5080700854900604,-6.731134941624411,0.0,3.1873673818491737,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4539962238005932,0,0,0,0.10010602018715613,1.0
2025-11-18,3003.018,7448.101,1.518672566151355,-6.122835606213726,0.0,3.1873673818491737,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4539962238005932,0,0,0,0.10536184792302494,1.0
2025-11-19,3020.349,7387.208,1.5400278351537127,-2.3592576208831484,0.0,3.1873673818491737,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4539962238005932,0,0,0,0.10865850422590848,1.0
2025-11-20,3008.29,7340.412,1.5436578052441694,1.8567516204357049,0.0,3.1873673818491737,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4539962238005932,0,0,0,0.11820255993583698,1.0
2025-11-21,2955.854,7067.703,1.5752752780724395,8.84118775617317,0.75,3.2351352869121066,1.0,,1,0,0.01498663296077897,0.01536163296077897,0.000375,0.75,0.75,3.5057599974546094,1,0,0,0.11637939373848945,1.0
2025-11-24,2950.562,7156.409,1.5529639037374172,11.621380176844527,0.75,3.200769715026605,1.0,,1,0,-0.010622607352628849,-0.010622607352628849,0.0,0.0,0.75,3.468519685529096,1,0,0,0.13233896826161168,1.0
2025-11-25,2968.202,7249.947,1.5420923805793822,12.148145297572889,0.75,3.183964474738966,1.0,,1,0,-0.005250374686046111,-0.005250374686046111,0.0,0.0,0.75,3.450308657574141,1,0,0,0.14162788103673124,1.0
2025-11-26,2971.799,7248.449,1.5442802397100284,11.85133600833175,0.75,3.1873524360417904,1.0,,1,0,0.0010640700704118156,0.0010640700704118156,0.0,0.0,0.75,3.4539800277503487,1,0,0,0.1430794241493665,1.0
2025-11-27,2972.265,7257.454,1.5426059612655696,11.783414183336724,0.75,3.1847606871441485,1.0,,1,0,-0.000813135337132731,-0.000813135337132731,0.0,0.0,0.75,3.451171474536034,1,0,0,0.14020654549953307,1.0
2025-11-28,2969.617,7334.21,1.5251019257879044,7.892502140930005,0.75,3.157657444908891,1.0,,1,0,-0.008510291634993117,-0.008510291634993117,0.0,0.0,0.75,3.4218009988053635,1,0,0,0.1391068880836367,1.0
2025-12-01,2993.676,7386.681,1.5265365998202722,4.211629896006909,0.75,3.1598852677166933,1.0,,1,0,0.0007055302377380057,0.0007055302377380057,0.0,0.0,0.75,3.424215182877543,1,0,0,0.1355963049554829,1.0
2025-12-02,2978.467,7313.178,1.5340461259365343,2.8829848648118026,0.75,3.171543639162768,1.0,,1,0,0.0036894920094675543,0.0036894920094675543,0.0,0.0,0.75,3.4368487974334667,1,0,0,0.13515211720150572,1.0
2025-12-03,2963.076,7248.274,1.5397845522799238,1.9441468381163505,0.75,3.1804415151427374,1.0,,1,0,0.002805534778111518,0.002805534778111518,0.0,0.0,0.75,3.446490996261777,1,0,0,0.1292977586151341,1.0
2025-12-04,2974.337,7248.657,1.5455547475843197,1.8256700211632138,0.75,3.1893803153807685,1.0,,1,0,0.002810553250381098,0.002810553250381098,0.0,0.0,0.75,3.4561775427337293,1,0,0,0.12804838743708113,1.0
2025-12-05,3002.009,7342.492,1.5399984282421617,0.8532649488972164,0.75,3.180780871283004,1.0,,1,0,-0.002696274275066468,-0.002696274275066468,0.0,0.0,0.75,3.4468587401351938,1,0,0,0.12844551225712264,1.0
