trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
999,Sub-B,SUBB_T0999,BIL:5.7%(BIL); IBIT:8.3%(比特币); PDBC:25.1%(大宗商品); EMXC:11.0%(新兴市场(除中国)); QQQM:65.7%(Nasdaq 100),2018-06-07,2018-06-07,1.0,0.9956933354842373,long,1,False
1000,Sub-B,SUBB_T1000,BIL:5.7%(BIL); IBIT:8.3%(比特币); PDBC:25.1%(大宗商品); EMXC:11.0%(新兴市场(除中国)); QQQM:65.7%(Nasdaq 100),2018-06-08,2018-06-13,1.0,0.9774369246462238,long,4,False
1001,Sub-B,SUBB_T1001,BIL:5.4%(BIL); IBIT:6.4%(比特币); PDBC:24.1%(大宗商品); EMXC:10.4%(新兴市场(除中国)); QQQM:70.5%(Nasdaq 100),2018-06-14,2018-06-14,1.0,1.005940346885649,long,1,False
1002,Sub-B,SUBB_T1002,BIL:5.4%(BIL); IBIT:6.4%(比特币); PDBC:24.1%(大宗商品); EMXC:10.4%(新兴市场(除中国)); QQQM:70.5%(Nasdaq 100),2018-06-15,2018-06-20,1.0,0.9947373159725978,long,4,False
1003,Sub-B,SUBB_T1003,BIL:5.3%(BIL); IBIT:6.8%(比特币); PDBC:21.6%(大宗商品); VEA:13.2%(发达市场); QQQM:68.3%(Nasdaq 100),2018-06-21,2018-06-21,1.0,0.9901718588145618,long,1,False
1004,Sub-B,SUBB_T1004,BIL:5.3%(BIL); IBIT:6.8%(比特币); PDBC:21.6%(大宗商品); VEA:13.2%(发达市场); QQQM:68.3%(Nasdaq 100),2018-06-22,2018-06-27,1.0,0.9875848342953295,long,4,False
1005,Sub-B,SUBB_T1005,BIL:6.7%(BIL); IBIT:6.6%(比特币); PDBC:24.9%(大宗商品); VEA:17.1%(发达市场); QQQM:55.4%(Nasdaq 100),2018-06-28,2018-06-28,1.0,1.003431298479602,long,1,False
1006,Sub-B,SUBB_T1006,BIL:6.7%(BIL); IBIT:6.6%(比特币); PDBC:24.9%(大宗商品); VEA:17.1%(发达市场); QQQM:55.4%(Nasdaq 100),2018-06-29,2018-07-03,1.0,1.0028064240478682,long,3,False
1007,Sub-B,SUBB_T1007,BIL:6.0%(BIL); IBIT:6.0%(比特币); PDBC:23.4%(大宗商品); VEA:17.1%(发达市场); QQQM:59.9%(Nasdaq 100),2018-07-05,2018-07-05,1.0,1.0111287167681458,long,1,False
1008,Sub-B,SUBB_T1008,BIL:6.0%(BIL); IBIT:6.0%(比特币); PDBC:23.4%(大宗商品); VEA:17.1%(发达市场); QQQM:59.9%(Nasdaq 100),2018-07-06,2018-07-11,1.0,1.0027545626827092,long,4,False
1009,Sub-B,SUBB_T1009,BIL:11.1%(BIL); IBIT:8.3%(比特币); PDBC:12.6%(大宗商品); EMXC:13.4%(新兴市场(除中国)); QQQM:86.8%(Nasdaq 100),2018-07-12,2018-07-12,1.0,1.0113435922674279,long,1,False
1010,Sub-B,SUBB_T1010,BIL:11.1%(BIL); IBIT:8.3%(比特币); PDBC:12.6%(大宗商品); EMXC:13.4%(新兴市场(除中国)); QQQM:86.8%(Nasdaq 100),2018-07-13,2018-07-18,1.0,0.9987482181703069,long,4,False
1011,Sub-B,SUBB_T1011,BIL:12.8%(BIL); IBIT:7.0%(比特币); PDBC:13.0%(大宗商品); EMXC:15.7%(新兴市场(除中国)); QQQM:77.7%(Nasdaq 100),2018-07-19,2018-07-19,1.0,0.9944649408414835,long,1,False
1012,Sub-B,SUBB_T1012,BIL:12.8%(BIL); IBIT:7.0%(比特币); PDBC:13.0%(大宗商品); EMXC:15.7%(新兴市场(除中国)); QQQM:77.7%(Nasdaq 100),2018-07-20,2018-07-25,1.0,1.0325239098816243,long,4,False
1013,Sub-B,SUBB_T1013,BIL:13.3%(BIL); IBIT:6.6%(比特币); PDBC:12.5%(大宗商品); EMXC:13.9%(新兴市场(除中国)); QQQM:80.8%(Nasdaq 100),2018-07-26,2018-07-26,1.0,0.9853277624249162,long,1,False
