trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade,profit_pct,mfe_pct,mae_pct,profit_capture,giveback_pct,max_high,min_low,best_date,worst_date,bar_count,holding_calendar_days,had_profit_then_loss,deep_mae_profit,allocation_trade,holding_days_trade,is_open_trade_trade
314,Sub-B,SUBB_T0314,BIL:5.6%(BIL); PDBC:23.1%(大宗商品); GLDM:45.3%(黄金); VGLT:36.8%(长期国债),2011-12-02,2011-12-07,1.0,1.002542571549459,long,4,False,0.0025425715494589163,0.008598337546465329,-0.00014122798186300134,0.2957050168964507,0.006055765997006413,1.0085983375464653,0.999858772018137,2011-12-02,2011-12-05,5,5,False,False,BIL:5.6%(BIL); PDBC:23.1%(大宗商品); GLDM:45.3%(黄金); VGLT:36.8%(长期国债),4,False
315,Sub-B,SUBB_T0315,BIL:5.5%(BIL); PDBC:23.8%(大宗商品); GLDM:44.5%(黄金); VGLT:37.0%(长期国债),2011-12-08,2011-12-08,1.0,0.9925107491337216,long,1,False,-0.007489250866278385,0.0,-0.007489250866278385,,0.007489250866278385,1.0,0.9925107491337216,2011-12-08,2011-12-08,2,0,False,False,BIL:5.5%(BIL); PDBC:23.8%(大宗商品); GLDM:44.5%(黄金); VGLT:37.0%(长期国债),1,False
316,Sub-B,SUBB_T0316,BIL:5.5%(BIL); PDBC:23.8%(大宗商品); GLDM:44.5%(黄金); VGLT:37.0%(长期国债),2011-12-09,2011-12-14,1.0,0.9618187492182991,long,4,False,-0.03818125078170087,0.0,-0.03818125078170087,,0.03818125078170087,1.0,0.9618187492182991,2011-12-09,2011-12-14,5,5,False,False,BIL:5.5%(BIL); PDBC:23.8%(大宗商品); GLDM:44.5%(黄金); VGLT:37.0%(长期国债),4,False
317,Sub-B,SUBB_T0317,BIL:28.8%(BIL); GLDM:28.5%(黄金); QQQM:14.0%(Nasdaq 100); VGLT:38.3%(长期国债),2011-12-15,2011-12-15,1.0,0.9957998731644422,long,1,False,-0.004200126835557816,0.0,-0.004200126835557816,,0.004200126835557816,1.0,0.9957998731644422,2011-12-15,2011-12-15,2,0,False,False,BIL:28.8%(BIL); GLDM:28.5%(黄金); QQQM:14.0%(Nasdaq 100); VGLT:38.3%(长期国债),1,False
318,Sub-B,SUBB_T0318,BIL:28.8%(BIL); GLDM:28.5%(黄金); QQQM:14.0%(Nasdaq 100); VGLT:38.3%(长期国债),2011-12-16,2011-12-21,1.0,1.0064591072956914,long,4,False,0.006459107295691435,0.015129644252037444,0.0,0.42691732786920056,0.008670536956346009,1.0151296442520374,1.0,2011-12-19,2011-12-16,5,5,False,False,BIL:28.8%(BIL); GLDM:28.5%(黄金); QQQM:14.0%(Nasdaq 100); VGLT:38.3%(长期国债),4,False
319,Sub-B,SUBB_T0319,BIL:10.6%(BIL); GLDM:48.6%(黄金); QQQM:15.7%(Nasdaq 100); VGLT:36.9%(长期国债),2011-12-22,2011-12-22,1.0,1.0007706248412704,long,1,False,0.0007706248412704397,0.0007706248412704397,0.0,1.0,0.0,1.0007706248412704,1.0,2011-12-22,2011-12-22,2,0,False,False,BIL:10.6%(BIL); GLDM:48.6%(黄金); QQQM:15.7%(Nasdaq 100); VGLT:36.9%(长期国债),1,False
320,Sub-B,SUBB_T0320,BIL:10.6%(BIL); GLDM:48.6%(黄金); QQQM:15.7%(Nasdaq 100); VGLT:36.9%(长期国债),2011-12-23,2011-12-28,1.0,0.9881363412966129,long,3,False,-0.011863658703387125,0.0,-0.011863658703387125,,0.011863658703387125,1.0,0.9881363412966129,2011-12-23,2011-12-28,4,5,False,False,BIL:10.6%(BIL); GLDM:48.6%(黄金); QQQM:15.7%(Nasdaq 100); VGLT:36.9%(长期国债),3,False
321,Sub-B,SUBB_T0321,BIL:27.3%(BIL); GLDM:32.6%(黄金); QQQM:18.6%(Nasdaq 100); VGLT:34.1%(长期国债),2011-12-29,2011-12-29,1.0,0.9995834292537051,long,1,False,-0.00041657074629486424,0.0,-0.00041657074629486424,,0.00041657074629486424,1.0,0.9995834292537051,2011-12-29,2011-12-29,2,0,False,False,BIL:27.3%(BIL); GLDM:32.6%(黄金); QQQM:18.6%(Nasdaq 100); VGLT:34.1%(长期国债),1,False
322,Sub-B,SUBB_T0322,BIL:27.3%(BIL); GLDM:32.6%(黄金); QQQM:18.6%(Nasdaq 100); VGLT:34.1%(长期国债),2011-12-30,2012-01-04,1.0,1.0112150321831734,long,3,False,0.011215032183173435,0.012846061316268864,0.0,0.8730327457623283,0.0016310291330954296,1.0128460613162689,1.0,2012-01-03,2011-12-30,4,5,False,False,BIL:27.3%(BIL); GLDM:32.6%(黄金); QQQM:18.6%(Nasdaq 100); VGLT:34.1%(长期国债),3,False
323,Sub-B,SUBB_T0323,BIL:5.1%(BIL); GLDM:46.5%(黄金); QQQM:38.8%(Nasdaq 100); VGLT:35.9%(长期国债),2012-01-05,2012-01-05,1.0,1.0031560557739718,long,1,False,0.003156055773971822,0.003156055773971822,0.0,1.0,0.0,1.0031560557739718,1.0,2012-01-05,2012-01-05,2,0,False,False,BIL:5.1%(BIL); GLDM:46.5%(黄金); QQQM:38.8%(Nasdaq 100); VGLT:35.9%(长期国债),1,False
324,Sub-B,SUBB_T0324,BIL:5.1%(BIL); GLDM:46.5%(黄金); QQQM:38.8%(Nasdaq 100); VGLT:35.9%(长期国债),2012-01-06,2012-01-11,1.0,1.0145158958675562,long,4,False,0.014515895867556194,0.014515895867556194,-0.002578878765343795,1.0,0.0,1.0145158958675562,0.9974211212346562,2012-01-11,2012-01-09,5,5,False,False,BIL:5.1%(BIL); GLDM:46.5%(黄金); QQQM:38.8%(Nasdaq 100); VGLT:35.9%(长期国债),4,False
325,Sub-B,SUBB_T0325,BIL:2.5%(BIL); GLDM:54.3%(黄金); QQQM:45.8%(Nasdaq 100); VGLT:34.9%(长期国债),2012-01-12,2012-01-12,1.0,1.0030931199156887,long,1,False,0.0030931199156887246,0.0030931199156887246,0.0,1.0,0.0,1.0030931199156887,1.0,2012-01-12,2012-01-12,2,0,False,False,BIL:2.5%(BIL); GLDM:54.3%(黄金); QQQM:45.8%(Nasdaq 100); VGLT:34.9%(长期国债),1,False
326,Sub-B,SUBB_T0326,BIL:2.5%(BIL); GLDM:54.3%(黄金); QQQM:45.8%(Nasdaq 100); VGLT:34.9%(长期国债),2012-01-13,2012-01-18,1.0,1.0145163866347118,long,3,False,0.014516386634711775,0.014516386634711775,-0.0011105140598609564,1.0,0.0,1.0145163866347118,0.998889485940139,2012-01-18,2012-01-13,4,5,False,False,BIL:2.5%(BIL); GLDM:54.3%(黄金); QQQM:45.8%(Nasdaq 100); VGLT:34.9%(长期国债),3,False
327,Sub-B,SUBB_T0327,PDBC:10.9%(大宗商品); GLDM:64.7%(黄金); QQQM:71.2%(Nasdaq 100); VGLT:21.1%(长期国债),2012-01-19,2012-01-19,1.0,0.9967676502854756,long,1,False,-0.003232349714524352,0.0,-0.003232349714524352,,0.003232349714524352,1.0,0.9967676502854756,2012-01-19,2012-01-19,2,0,False,False,PDBC:10.9%(大宗商品); GLDM:64.7%(黄金); QQQM:71.2%(Nasdaq 100); VGLT:21.1%(长期国债),1,False
328,Sub-B,SUBB_T0328,PDBC:10.9%(大宗商品); GLDM:64.7%(黄金); QQQM:71.2%(Nasdaq 100); VGLT:21.1%(长期国债),2012-01-20,2012-01-25,1.0,1.0262721673384656,long,4,False,0.026272167338465602,0.026272167338465602,-0.0006746935724657455,1.0,0.0,1.0262721673384656,0.9993253064275343,2012-01-25,2012-01-24,5,5,False,False,PDBC:10.9%(大宗商品); GLDM:64.7%(黄金); QQQM:71.2%(Nasdaq 100); VGLT:21.1%(长期国债),4,False
