mode,bias_n,mom_day,r2_window,window,start,end,total,cagr,valid,maxdd,dd_date,sharpe,avg_weight,avg_turnover,signal_days,cash_days,top_holds
a_style_volscale,40,20,20,10Y,2016-05-03,2026-04-30,3.4975615680042287,0.16241269170482808,True,-0.29627891271394813,2024-02-06,0.700877568786998,0.9608781507946601,0.21147353076843287,395,652,cash:652; 0.399606:548; NASDAQ_159941:547; GOLD_518880:398; 1.H00016:284
a_style_volscale,40,20,20,5Y,2021-04-30,2026-04-30,0.9908734147783742,0.14766970554904613,True,-0.296278912713948,2024-02-06,0.651653056404068,0.9122526691467717,0.2112072450647668,205,369,cash:369; NASDAQ_159941:262; 0.399606:254; GOLD_518880:207; 1.H00016:119
a_style_volscale,40,20,20,3Y,2023-05-04,2026-04-30,0.8604363955006504,0.2307794434451611,True,-0.2962789127139478,2024-02-06,0.8546446932429623,0.9016787951591647,0.1994717750527168,116,206,cash:206; NASDAQ_159941:172; 0.399606:166; GOLD_518880:134; 1.H00016:48
core_1x,40,25,25,10Y,2016-05-03,2026-04-30,1.545675455126708,0.09804269440897007,True,-0.22271397101670776,2018-12-10,0.5686828628304164,0.6877315767805682,0.13441745574310415,352,660,cash:660; 0.399606:561; NASDAQ_159941:537; GOLD_518880:396; 1.H00016:275
core_1x,40,25,25,5Y,2021-04-30,2026-04-30,0.8695049138482132,0.13332054733622445,True,-0.20812847296457104,2022-04-26,0.7302217268805896,0.6701073492981008,0.129644921552436,171,354,cash:354; NASDAQ_159941:262; 0.399606:255; GOLD_518880:206; 1.H00016:134
core_1x,40,25,25,3Y,2023-05-04,2026-04-30,0.8640610220172957,0.23158096445980414,True,-0.19874833902294553,2023-12-05,1.031838764973953,0.6955922865013774,0.1349862258953168,100,196,cash:196; NASDAQ_159941:177; 0.399606:171; GOLD_518880:127; 1.H00016:55
a_style_volscale,40,25,25,10Y,2016-05-03,2026-04-30,2.1600751145559,0.12206410619491326,True,-0.3445950876015089,2018-12-10,0.564313997679677,0.9562184201901672,0.18879758142398223,352,660,cash:660; 0.399606:561; NASDAQ_159941:537; GOLD_518880:396; 1.H00016:275
a_style_volscale,40,25,25,5Y,2021-04-30,2026-04-30,1.2223590514163396,0.17320077665761247,True,-0.30290306557486657,2022-04-26,0.729136583643136,0.9276874414704068,0.18292168415304247,171,354,cash:354; NASDAQ_159941:262; 0.399606:255; GOLD_518880:206; 1.H00016:134
a_style_volscale,40,25,25,3Y,2023-05-04,2026-04-30,1.3405171807479936,0.32900523468396115,True,-0.2875250776952605,2023-12-05,1.1021164292204282,0.918788206546471,0.1832628367831756,100,196,cash:196; NASDAQ_159941:177; 0.399606:171; GOLD_518880:127; 1.H00016:55
core_1x,40,30,30,10Y,2016-05-03,2026-04-30,3.0012760741328544,0.1488877865234126,True,-0.2760743914441425,2018-12-21,0.7987854796721623,0.6844380403458213,0.10909839440098806,303,686,cash:686; 0.399606:587; NASDAQ_159941:525; GOLD_518880:374; 1.H00016:257
