date,position,asset_return,base_weight,trade_count,stop_exit_count,return_1x,nav_1x,realized_vol_for_scale,scale_raw,weight,return_tv25,nav_tv25
2023-10-19,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.21490057434891652,1.1633286730732297,0.0,0.0,12.6308192635707
2023-10-20,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.2145969177711017,1.164974793657851,0.0,0.0,12.6308192635707
2023-10-23,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.21455197166316198,1.1652188421390506,0.0,0.0,12.6308192635707
2023-10-24,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.2145567913238268,1.1651926674401063,0.0,0.0,12.6308192635707
2023-10-25,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.21396507883731303,1.168414964528328,0.0,0.0,12.6308192635707
2023-10-26,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.21223405174769325,1.1779448111239164,0.0,0.0,12.6308192635707
2023-10-27,518880.SH,0.0,0.0,123,22,0.0,10.259056458879916,0.21128113374395607,1.1832575657368722,0.0,0.0,12.6308192635707
2023-10-30,518880.SH,0.0021743857360294605,1.0,123,22,0.0021743857360294605,10.281363604909226,0.21109373934845407,1.1843079798180232,1.1843079798180232,0.0025751423783821757,12.663345421530007
2023-10-31,518880.SH,0.0023866348448686736,1.0,123,22,0.0023866348448686736,10.305901465541467,0.21090548284292276,1.1853651058763317,1.1853651058763317,0.0028290336655758977,12.699170452046332
2023-11-01,518880.SH,-0.003679653679653727,1.0,123,22,-0.003679653679653727,10.267979317291639,0.15898412620935667,1.5,1.5,-0.005519480519480591,12.629077628122698
2023-11-02,518880.SH,0.002172496198131757,1.0,123,22,0.002172496198131757,10.29028646332095,0.15540016061759634,1.5,1.5,0.0032587442971976355,12.670232562822209
2023-11-03,518880.SH,-0.0006503360069369801,1.0,123,22,-0.0006503360069369801,10.283594319512156,0.1553920940176612,1.5,1.5,-0.0009755040104054702,12.657872700144406
2023-11-06,518880.SH,-0.004989154013015362,1.0,123,22,-0.004989154013015362,10.23228788364474,0.1553792295681067,1.5,1.5,-0.007483731019523043,12.563144585577161
2023-11-07,518880.SH,-0.003924133420536213,1.0,123,22,-0.003924133420536213,10.192135020791984,0.1553201667689533,1.5,1.5,-0.00588620013080432,12.489195402274223
2023-11-08,518880.SH,-0.003939592908732692,1.0,123,22,-0.003939592908732692,10.151982157939225,0.15556801422245642,1.5,1.5,-0.005909389363099038,12.415391883810358
2023-11-09,159985.SZ,-0.0065919578114700395,1.0,124,22,-0.0065919578114700395,10.085060719851292,0.15568173420429549,1.5,1.5,-0.00988793671720506,12.29262927454394
