version,candidate,segment,start,end,name,lbs,abs_threshold,rebalance_threshold,min_turnover,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,days,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,avg_bil,avg_cash,avg_risky,max_risky,annual_turnover,total_trade_cost
V7.5,tv0.2_vw40_lev2_vr1_1.8_1.4,full_common,2008-12-15,2026-05-06,tv0.2_vw40_lev2_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,1.8,1.4,4374,0.1804969187276162,0.1305599220129704,1.3366704679912982,-0.1392723065690314,1.2960000675952863,17.817223693769325,0.6523809523809524,0.1528292395561722,0.0626428898033836,0.8861205642692205,1.5119952782244692,14.61398349680649,0.2536569992659983
V7.5,tv0.2_vw40_lev2_vr1_1.8_1.4,1Y,2025-05-06,2026-05-06,tv0.2_vw40_lev2_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,1.8,1.4,252,0.5484509336315855,0.1652759792072628,2.730383489471996,-0.1079137536458317,5.082308001550733,1.5484509336315857,0.8461538461538461,0.0189069293172621,0.0,1.114531542278511,1.354196272694813,12.385410060314642,0.0123854100603146
V7.5,tv0.2_vw40_lev2_vr1_1.8_1.4,3Y,2023-05-08,2026-05-06,tv0.2_vw40_lev2_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,1.8,1.4,752,0.3289690974789103,0.1608153213293702,1.8498651665630637,-0.1342584849208153,2.450266719998619,2.3365984999010205,0.7567567567567568,0.0460920526828862,0.0332446808510638,1.0239419908885965,1.354196272694813,13.839161607896868,0.0412978155918192
V7.5,tv0.2_vw40_lev2_vr1_1.8_1.4,5Y,2021-05-06,2026-05-06,tv0.2_vw40_lev2_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,1.8,1.4,1256,0.2186724635629831,0.146571187639661,1.4230195242395605,-0.1392723065690309,1.5701072880170703,2.6796107113985106,0.7049180327868853,0.1370684263805333,0.0780254777070063,0.8549714706874814,1.354196272694813,13.962262882589782,0.0695896911925903
V7.5,tv0.2_vw40_lev2_vr1_1.8_1.4,10Y,2016-05-06,2026-05-06,tv0.2_vw40_lev2_vr1_1.8_1.4,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,1.8,1.4,2514,0.2686235624366402,0.1422539348666446,1.7444694694225371,-0.1392723065690316,1.928765086571567,10.73661622498004,0.7107438016528925,0.126925646278587,0.0755767700875099,0.8967443830619055,1.5119952782244692,14.625842593488905,0.145910191587425
V7.5,tv0.2_vw40_lev2_vr0_2_1.6,full_common,2008-12-15,2026-05-06,tv0.2_vw40_lev2_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,False,2.0,1.6,4374,0.2046713116391123,0.1406538134022015,1.394755209820569,-0.1831746737791032,1.117355950014862,25.330705660471025,0.6666666666666666,0.1690239292200022,0.0,0.9338708110656994,1.5119952782244692,13.6944388634203,0.2376963317007951
V7.5,tv0.2_vw40_lev2_vr0_2_1.6,1Y,2025-05-06,2026-05-06,tv0.2_vw40_lev2_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,False,2.0,1.6,252,0.5484509336315855,0.1652759792072628,2.730383489471996,-0.1079137536458317,5.082308001550733,1.5484509336315857,0.8461538461538461,0.0189069293172621,0.0,1.114531542278511,1.354196272694813,12.385410060314642,0.0123854100603146
V7.5,tv0.2_vw40_lev2_vr0_2_1.6,3Y,2023-05-08,2026-05-06,tv0.2_vw40_lev2_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,False,2.0,1.6,752,0.3988458262105328,0.1662661233225753,2.1031088983381547,-0.107913753645832,3.69596842604073,2.7226746446291576,0.8108108108108109,0.0509374949534999,0.0,1.05317298213461,1.354196272694813,12.864717067543117,0.0383899493444143
V7.5,tv0.2_vw40_lev2_vr0_2_1.6,5Y,2021-05-06,2026-05-06,tv0.2_vw40_lev2_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,False,2.0,1.6,1256,0.2896405769895718,0.1560422579190588,1.7088560123930236,-0.1079137536458315,2.684000576424763,3.552957191917634,0.7540983606557377,0.1515860184567376,0.0,0.9192112820610396,1.354196272694813,12.488844489484247,0.062245986820604
V7.5,tv0.2_vw40_lev2_vr0_2_1.6,10Y,2016-05-06,2026-05-06,tv0.2_vw40_lev2_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,False,2.0,1.6,2514,0.311564086173453,0.1558520570378699,1.8191552439830592,-0.1831746737791035,1.700912466475461,14.96547993115436,0.7355371900826446,0.1454445613482867,0.0,0.95506723556126,1.5119952782244692,13.623156015391404,0.1359071992964047
