window,layer,annual_return,max_drawdown,sharpe,avg_weight,cash_ratio,bond_ratio,ann_vs_base_pp,dd_vs_base_pp,sharpe_vs_base,ann_step_pp,dd_step_pp,sharpe_step
5Y,06_plus_target_vol,0.2573978926778804,-0.26111732095197393,1.0217192584469883,1.0751445086705202,0.23534269199009084,0.15111478117258464,6.288315302973291,3.7283099364658123,0.11253285541831692,7.2510998234817325,-8.228084167235593,-0.05681617553003959
5Y,07_plus_cash_peak,0.28157836498594224,-0.23433112166463044,1.2075201123416668,0.9060533802653958,0.32865400495458297,0.15111478117258464,8.706362533779476,6.406929865200162,0.2983337093129954,2.418047230806186,2.6786199287343493,0.18580085389467849
5Y,08_plus_same_side_overheat,0.3095813987130498,-0.23433112166463044,1.3106900359977707,0.9068749514624537,0.33030553261767137,0.15111478117258464,11.506665906490232,6.406929865200162,0.4015036329690993,2.800303372710755,0.0,0.10316992365610389
5Y,09_plus_volume_overlay,0.3440526170684932,-0.19395735765195876,1.673815723367823,0.7196617404610038,0.36911643270024774,0.15111478117258464,14.953787742034574,10.44430626646733,0.7646293203391517,3.4471218355443423,4.037376401267167,0.36312568737005235
3Y,01_equity_naked,0.25562487125815236,-0.27183571856884803,1.0345143217342407,0.7799174690508941,0.2200825309491059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3Y,02_plus_r2_filter,0.22227183536416772,-0.20251720761403313,0.9773646284450019,0.5735900962861072,0.4264099037138927,0.0,-3.335303589398464,6.931851095481489,-0.0571496932892388,-3.335303589398464,6.931851095481489,-0.0571496932892388
3Y,03_plus_bond_rotation,0.22922504320091353,-0.20388589020018666,1.002674370896767,0.7248968363136176,0.2751031636863824,0.15818431911966988,-2.639982805723884,6.7949828368661365,-0.03183995083747382,0.6953207836745801,-0.13686825861535246,0.025309742451764983
3Y,04_plus_half_entry,0.19602238007116024,-0.16134592964837036,1.0692386921620125,0.671251719394773,0.2751031636863824,0.15818431911966988,-5.960249118699212,11.048978892047767,0.03472437042777177,-3.3202663129753285,4.253996055181631,0.06656432126524559
3Y,05_plus_switch_buffer,0.21460862799564162,-0.15986630792183731,1.1523115999128066,0.671251719394773,0.2751031636863824,0.15818431911966988,-4.101624326251074,11.196941064701072,0.11779727817856589,1.858624792448138,0.14796217265330425,0.08307290775079412
3Y,06_plus_target_vol,0.30295250614847524,-0.2398999238013565,1.0993754226610408,1.0068775790921596,0.2751031636863824,0.15818431911966988,4.732763489032288,3.193579476749153,0.06486110092680009,8.834387815283362,-8.003361587951918,-0.052936177251765804
3Y,07_plus_cash_peak,0.32739104770396144,-0.22420262423001847,1.2986934473402718,0.8135655263366495,0.37276478679504815,0.15818431911966988,7.176617644580907,4.763309433882956,0.2641791256060311,2.4438541555486193,1.569729957133803,0.199318024679231
3Y,08_plus_same_side_overheat,0.3760100152335466,-0.22420262423001847,1.4617303415899894,0.8149340582756277,0.37551581843191195,0.15818431911966988,12.038514397539423,4.763309433882956,0.42721601985574864,4.861896752958517,0.0,0.16303689424971757
3Y,09_plus_volume_overlay,0.5000722761641405,-0.1264850441539661,2.182599704084381,0.6189963792273392,0.43191196698762035,0.15818431911966988,24.444740490598814,14.535067441488192,1.1480853823501405,12.406226093059392,9.771758007605236,0.7208693624943918
1Y,01_equity_naked,0.8143655485056489,-0.06555385386369927,2.973425413453705,0.8806584362139918,0.11934156378600823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1Y,02_plus_r2_filter,0.7027190021487175,-0.07741172173132282,2.7611660675739294,0.7942386831275721,0.205761316872428,0.0,-11.16465463569314,-1.185786786762355,-0.21225934587977546,-11.16465463569314,-1.185786786762355,-0.21225934587977546
1Y,03_plus_bond_rotation,0.7046041674637076,-0.07741172173132282,2.7659578003202916,0.8189300411522634,0.18106995884773663,0.02880658436213992,-10.976138104194133,-1.185786786762355,-0.20746761313341322,0.1885165314990056,0.0,0.004791732746362243
1Y,04_plus_half_entry,0.7124446144394745,-0.07111266018792772,2.8446858664633146,0.7860082304526749,0.18106995884773663,0.02880658436213992,-10.192093406617442,-0.5558806324228449,-0.12873954699039025,0.7840446975766913,0.6299061543395101,0.07872806614302297
1Y,05_plus_switch_buffer,0.7124446144394745,-0.07111266018792772,2.8446858664633146,0.7860082304526749,0.18106995884773663,0.02880658436213992,-10.192093406617442,-0.5558806324228449,-0.12873954699039025,0.0,0.0,0.0
1Y,06_plus_target_vol,1.1763866851579956,-0.10986092499974287,2.794672380622218,1.1790123456790123,0.18106995884773663,0.02880658436213992,36.20211366523467,-4.43070711360436,-0.1787530328314868,46.39420707185211,-3.8748264811815147,-0.05001348584109655
1Y,07_plus_cash_peak,1.1231970909630968,-0.09816116605472136,3.038977330269733,0.9392777257654954,0.3292181069958848,0.02880658436213992,30.88315424574479,-3.2607312191022086,0.06555191681602812,-5.318959419489877,1.169975894502151,0.24430494964751492
1Y,08_plus_same_side_overheat,1.123197090963096,-0.09816116605472136,3.038977330269732,0.9392777257654954,0.3292181069958848,0.02880658436213992,30.883154245744706,-3.2607312191022086,0.06555191681602723,-8.881784197001252e-14,0.0,-8.881784197001252e-16
1Y,09_plus_volume_overlay,1.1521956701390925,-0.06206826712435143,3.8461072478319482,0.7445987654320988,0.3991769547325103,0.02880658436213992,33.78301216334436,0.34855867393478457,0.8726818343782434,2.8998579175996575,3.609289893036993,0.8071299175622162
