variant,defense_asset,decay_ratio_threshold,recovery_ratio_threshold,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
switch_cash_decay20_rec70,cash,0.2,0.7,22.80397197693027,21.193821025139933,0.9399452595686437,-31.198281080586103,0.7309368076410018,2342.4747176792926,58.51063829787234,466,18,0.004765687053216839,3,3,1.1146074635881293,0.021874838427681453,0.0,0.001511017267681436,0.0007011552454180281
switch_cash_decay20_rec80,cash,0.2,0.8,22.80397197693027,21.193821025139933,0.9399452595686437,-31.198281080586103,0.7309368076410018,2342.4747176792926,58.51063829787234,466,18,0.004765687053216839,3,3,1.1146074635881293,0.021874838427681453,0.0,0.001511017267681436,0.0007011552454180281
switch_cash_decay20_rec90,cash,0.2,0.9,22.80397197693027,21.193821025139933,0.9399452595686437,-31.198281080586103,0.7309368076410018,2342.4747176792926,58.51063829787234,466,18,0.004765687053216839,3,3,1.1146074635881293,0.021874838427681453,0.0,0.001511017267681436,0.0007011552454180281
switch_cash_decay30_rec40,cash,0.3,0.4,22.795328286970793,21.156074162966654,0.9409001070159874,-31.198281080585964,0.7306597510321121,2339.8016781616766,58.51063829787234,471,32,0.008472332539052158,13,13,1.1169769724043006,0.013231148468204168,1.3855583347321954e-13,0.002465864715025079,0.00042409863652836943
baseline_no_overlay,,,,22.78209713850259,21.213309591377993,0.9384342423009623,-31.198281080586103,0.7302356523955837,2335.7152800435633,58.51063829787234,464,0,0.0,0,0,1.1128883385353263,0.0,0.0,0.0,0.0
switch_bond_decay30_rec40,bond,0.3,0.4,22.712848175059918,21.13408410984128,0.938457428378299,-31.19828108058614,0.72801601204861,2314.4322284262557,58.51063829787234,477,32,0.008472332539052158,13,13,1.115429784846251,-0.0692489634426714,-3.552713678800501e-14,2.3186077336756483e-05,-0.0022196403469737502
switch_cash_decay20_rec40,cash,0.2,0.4,22.707268440665686,21.18036780033024,0.936665278525441,-31.198281080586103,0.7278371645544229,2312.724944331006,58.51063829787234,467,14,0.003706645485835319,3,3,1.1133546617034815,-0.07482869783690305,0.0,-0.0017689637755212706,-0.0023984878411608124
switch_bond_decay20_rec50,bond,0.2,0.5,22.6871376786139,21.18942196019032,0.9355784595017553,-31.198281080586103,0.7271919122727415,2306.5747298802553,57.97872340425532,467,18,0.004765687053216839,3,3,1.11305225528329,-0.09495945988868826,0.0,-0.0028557827992069518,-0.0030437401228422534
switch_bond_decay20_rec60,bond,0.2,0.6,22.6871376786139,21.18942196019032,0.9355784595017553,-31.198281080586103,0.7271919122727415,2306.5747298802553,57.97872340425532,467,18,0.004765687053216839,3,3,1.11305225528329,-0.09495945988868826,0.0,-0.0028557827992069518,-0.0030437401228422534
switch_bond_decay20_rec70,bond,0.2,0.7,22.6871376786139,21.18942196019032,0.9355784595017553,-31.198281080586103,0.7271919122727415,2306.5747298802553,57.97872340425532,467,18,0.004765687053216839,3,3,1.11305225528329,-0.09495945988868826,0.0,-0.0028557827992069518,-0.0030437401228422534
