case_id,family,volume_enabled,old_enabled,clear_enabled,zz_ma,zz_days,cyb_ma,cyb_days,old_scale,ratio_ma,ratio_days,clear_scale,cagr_last_1y,max_dd_last_1y,sharpe_last_1y,calmar_last_1y,old_signal_days_last_1y,clear_signal_days_last_1y,overlay_days_last_1y,avg_weight_last_1y,avg_turnover_last_1y,cagr_last_3y,max_dd_last_3y,sharpe_last_3y,calmar_last_3y,old_signal_days_last_3y,clear_signal_days_last_3y,overlay_days_last_3y,avg_weight_last_3y,avg_turnover_last_3y,cagr_last_5y,max_dd_last_5y,sharpe_last_5y,calmar_last_5y,old_signal_days_last_5y,clear_signal_days_last_5y,overlay_days_last_5y,avg_weight_last_5y,avg_turnover_last_5y,cagr_last_10y,max_dd_last_10y,sharpe_last_10y,calmar_last_10y,old_signal_days_last_10y,clear_signal_days_last_10y,overlay_days_last_10y,avg_weight_last_10y,avg_turnover_last_10y,cagr_full_common,max_dd_full_common,sharpe_full_common,calmar_full_common,old_signal_days_full_common,clear_signal_days_full_common,overlay_days_full_common,avg_weight_full_common,avg_turnover_full_common,recent_weighted_sharpe,mean_recent_cagr,worst_recent_max_dd
zz_ma12_d3,zz_scan,True,True,True,12.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9879482118483531,-0.06206826712435154,3.571614035839105,15.917122510751499,91,36,104,0.6903409090909091,0.1890495867768595,0.4332087086821548,-0.11316820956107743,2.0588993698455633,3.8280070910581117,299,100,346,0.6121650844140906,0.19836963118307777,0.3349170714070442,-0.1749019740075345,1.7296959079692171,1.9148844563218967,480,111,535,0.6990655795740741,0.22346392747017724,0.27794617177806646,-0.1863621204234197,1.42432803213868,1.4914306144755456,974,183,1058,0.7077496958576585,0.242354260622165,0.2942971834861756,-0.33046567236541935,1.3423919641218804,0.8905529623686612,1416,240,1533,0.7190581669896088,0.24251761672709454,2.075399657431841,0.5085050409289047,-0.1863621204234197
zz_ma12_d2,zz_scan,True,True,True,12.0,2.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9204544710541911,-0.06206826712435154,3.5034331364374904,14.829711118083798,104,36,114,0.6647727272727273,0.184400826446281,0.4229504355467415,-0.11043547933034292,2.058484825220706,3.8298419865737197,341,100,383,0.5897995360813827,0.19683276109212278,0.3371426178425334,-0.16039919244534717,1.7746795937513486,2.1018972271784224,541,111,591,0.6768136059463502,0.21851287979576953,0.256463259623521,-0.17729334827794707,1.3706310505724693,1.4465475558702707,1119,183,1193,0.6786677403553785,0.24464597089074155,0.27725320608414195,-0.327841188426783,1.3005371307110767,0.8456936342092998,1592,240,1697,0.6952994319647093,0.24394457339330888,2.072717174691713,0.48425269601674675,-0.17729334827794707
clear_scale_0.25,scale_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.25,0.9956748931611363,-0.06206826712435154,3.5407879609847335,16.041609332613355,93,36,107,0.7128099173553719,0.1875,0.4493567596057151,-0.12250672915910388,2.0146446393596995,3.668016954579853,318,100,366,0.6142125682037055,0.19557873314843158,0.3538386951128354,-0.14805659191054277,1.755263891660327,2.389888153893399,507,111,563,0.69734985497181,0.22209930600476144,0.27982651038798134,-0.19387460596958472,1.4077398770572818,1.4433376098357145,1034,183,1112,0.7106889769770326,0.2429575319254658,0.30156363909684325,-0.34790826436470035,1.3547679495973413,0.8667906743966404,1480,240,1588,0.7254607528280111,0.24286574958961138,2.0617471615633116,0.5196742145669171,-0.19387460596958472
zz_ma18_d2,zz_scan,True,True,True,18.0,2.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9164283237457345,-0.06866459778633938,3.479667335999153,13.346445669096386,106,36,112,0.6787190082644629,0.19369834710743802,0.44073506435767684,-0.10995000886690931,2.033965368049002,4.008504127463704,365,100,403,0.5773058420146255,0.1863761035782605,0.34783710145056745,-0.1423591187541665,1.7664985627845688,2.443377737194563,570,111,615,0.6674578853740646,0.21688764561803067,0.26599388955040926,-0.18033504499644648,1.3819880723835105,1.4749983263411208,1176,183,1240,0.6765274964267483,0.2413916746042112,0.28524685746059086,-0.3202656778853127,1.3134020168121066,0.8906569675028928,1656,240,1746,0.6971856312879215,0.24168050154185663,2.0594106870491493,0.492748594776097,-0.18033504499644648
zz_ma15_d2,zz_scan,True,True,True,15.0,2.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9278043896598516,-0.06206826712435154,3.5197516742850437,14.948127805808221,104,36,114,0.6740702479338843,0.184400826446281,0.4325790809935528,-0.1198444526294542,1.9994249373388033,3.609504415953565,351,100,393,0.5819546023452042,0.1894752771319795,0.34506093466234167,-0.15480960092737195,1.757436525962189,2.228937563273127,556,111,606,0.6683876374401804,0.21502814148579927,0.267580104682432,-0.17729334827794718,1.395814567714729,1.509250670041721,1157,183,1226,0.6739976404400947,0.2388089282863438,0.28496189143599104,-0.3459699321502807,1.3183583674127548,0.8236608588061077,1632,240,1729,0.6932134601077401,0.23918202182062961,2.052236448455313,0.4932561274995445,-0.17729334827794718
zz_ma18_d4,zz_scan,True,True,True,18.0,4.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9784903846371835,-0.07449519729561738,3.4579395860942634,13.134945877843176,91,36,101,0.7066115702479339,0.184400826446281,0.450457782131074,-0.09946689291020372,2.0258652515246154,4.528720752720569,327,100,373,0.5950504554091497,0.1910145040502821,0.3358313407737614,-0.13963151678360464,1.6663642675839458,2.405125637174159,517,111,570,0.6869372980388782,0.22091035532273123,0.28211624915130695,-0.17975932962293306,1.4102760465392599,1.5694108881195759,1027,183,1103,0.7082715345170122,0.24260467708743816,0.2959897933231135,-0.3363976104527364,1.3331956235035225,0.8798807843039057,1485,240,1590,0.7201478979887839,0.24273959965545744,2.0225126765830246,0.5117239391733315,-0.17975932962293306
zz_ma15_d4,zz_scan,True,True,True,15.0,4.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9337118266704996,-0.06534423517201104,3.3928165781588158,14.289123198283866,88,36,103,0.6973140495867769,0.1875,0.44402953096025244,-0.10714388828244503,2.002107872587592,4.1442357382973976,305,100,356,0.6043479760703068,0.1951467354552408,0.3390809434050275,-0.14696611093908185,1.6907376637418683,2.3072049824165117,487,111,546,0.6925158104355724,0.22338969416570645,0.28354607659662023,-0.17975932962293306,1.421213094852566,1.5773650090451072,984,183,1066,0.7097814349332082,0.24156156664032435,0.2969158995791519,-0.3363976104527364,1.3389273175136744,0.8826337951079718,1422,240,1535,0.7211164681897149,0.242070465661906,2.0146003886670183,0.5000920944081,-0.17975932962293306
old_scale_0.50,scale_scan,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.006760279307239,93,36,107,0.7453512396694215,0.1797520661157025,0.44243681757270714,-0.12792186195221633,1.957572403012051,3.458648981657053,318,100,366,0.6495712902930443,0.19435701264262956,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,507,111,563,0.7461477328535125,0.21888693485830502,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,1034,183,1112,0.7621748045011207,0.23801635746005426,0.3118486500844224,-0.3252515443374694,1.3708149275376333,0.9587922194793929,1480,240,1588,0.7643187354006866,0.23759017197173815,2.004166526758622,0.5196365747993763,-0.19846281242803088
zz_ma12_d4,zz_scan,True,True,True,12.0,4.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9337118266704996,-0.06534423517201104,3.3928165781588158,14.289123198283866,85,36,100,0.6973140495867769,0.1875,0.4117125879812529,-0.11316820956107743,1.9600412341336249,3.638058687842451,284,100,335,0.6160513205631053,0.20049335801081228,0.3202705833628916,-0.16258021489114804,1.6505761832288675,1.9699234840925854,458,111,517,0.7027919493626565,0.22566791563293362,0.2808451319409113,-0.17975932962293428,1.4218602303993153,1.5623396712149298,923,183,1012,0.7173168589473363,0.24018547582877003,0.2972118094341132,-0.31884477454784577,1.3452414342908003,0.9321520475146242,1355,240,1478,0.7266378531506268,0.2411662394483708,1.985917617360592,0.48663503248888884,-0.17975932962293428
ratio_ma40_d15,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,40.0,15.0,0.0,1.0225591160703051,-0.06206826712435165,3.6437858864781556,16.474748908675714,93,35,105,0.7011880165289256,0.17665289256198347,0.4120967512118232,-0.11042779049152995,1.8585437911826184,3.7318210332518778,318,108,372,0.5921610583561837,0.18509888745409409,0.33216539738891093,-0.15034039155635337,1.6599342524026703,2.209422191536614,507,125,574,0.6763710151789996,0.212402307679068,0.2660040446605465,-0.2227276690269615,1.3559197588078393,1.194301748959382,1034,241,1150,0.6833992751033503,0.23349156488506664,0.2770624339185628,-0.3479082643647008,1.271043496524475,0.7963663479638625,1480,301,1629,0.7032986762138939,0.23681239393766387,1.9814231620477503,0.5082063273328965,-0.2227276690269615
