cash_enabled,decay_threshold,recovery_threshold,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.6,0.7,last_10y,2016-05-04,2026-04-30,2428,54,211,0.7444752302993565,0.24169429937396783,0.2535824223302068,0.19117346771517021,1.2817167249360515,-0.1984628124280311,1.2777326856746212,9.556957673460907
True,0.6,0.7,full_common,2010-09-29,2026-04-30,3785,82,326,0.7497712722308922,0.23970041631751773,0.28165545700119465,0.21345309790560052,1.274836489078229,-0.31580022225863513,0.8918785901630035,47.80697619856952
True,0.6,0.75,last_1y,2025-05-06,2026-04-30,242,5,37,0.7391528925619835,0.21074380165289255,0.8652335483387577,0.19754563078995838,3.2281695839694096,-0.07781205803973967,11.119530444714252,1.8454426289712667
True,0.6,0.75,last_3y,2023-05-04,2026-04-30,726,14,74,0.6433729431856062,0.2026214754525469,0.4051535225569629,0.1957522764109705,1.8418204164475396,-0.12792186195221633,3.1671953204394656,2.7647423060260925
True,0.6,0.75,last_5y,2021-05-06,2026-04-30,1210,24,134,0.7244535179774794,0.22384561254425545,0.2921402761310703,0.18635956605298976,1.4736544924599884,-0.17718418266029334,1.6487943322298508,3.5862753873288282
True,0.6,0.75,last_10y,2016-05-04,2026-04-30,2428,54,215,0.7423129568232445,0.24169429937396783,0.25726034704215617,0.1909528699777276,1.2983886231771147,-0.1984628124280311,1.2962647454945593,9.840728123620027
True,0.6,0.75,full_common,2010-09-29,2026-04-30,3785,82,330,0.7483842180697298,0.23970041631751773,0.28406415655699835,0.21332546349030584,1.2843220831115985,-0.31580022225863513,0.8995058791451848,49.226487262669586
True,0.6,0.8,last_1y,2025-05-06,2026-04-30,242,5,43,0.7050619834710744,0.1921487603305785,0.950084245355791,0.19559366299941938,3.4844250594835455,-0.0718245032646101,13.227856820054383,1.9279248704200873
True,0.6,0.8,last_3y,2023-05-04,2026-04-30,726,14,80,0.6320093068219699,0.1964231283451089,0.4258550103640455,0.19518924972761822,1.9219676688463658,-0.12792186195221633,3.32902448311078,2.8883127377747795
True,0.6,0.8,last_5y,2021-05-06,2026-04-30,1210,24,144,0.7145361626055786,0.21888693485830502,0.31679296206990437,0.1853957803597335,1.5828875782398044,-0.17718418266029323,1.7879302616829877,3.9404185209130844
True,0.6,0.8,last_10y,2016-05-04,2026-04-30,2428,54,225,0.7373706174492741,0.23922312968698264,0.26917098553831265,0.19049129814746785,1.3507994659216573,-0.1984628124280311,1.3562792053847497,10.812495742683236
True,0.6,0.8,full_common,2010-09-29,2026-04-30,3785,82,340,0.7452138085585013,0.23811521156190346,0.2918472150639906,0.21305779985550136,1.3141906785926505,-0.31580022225863513,0.9241513922209104,54.087581454193
True,0.6,0.85,last_1y,2025-05-06,2026-04-30,242,5,47,0.6802685950413223,0.1797520661157025,0.9888274996750295,0.19348584015112397,3.6212879651014145,-0.0718245032646101,13.767272375446444,1.965566092710602
True,0.6,0.85,last_3y,2023-05-04,2026-04-30,726,14,84,0.6237448440120524,0.19229089694015022,0.43510659613587843,0.19453175222079322,1.9612544007296293,-0.12792186195221633,3.401346646270731,2.9447047805743667
True,0.6,0.85,last_5y,2021-05-06,2026-04-30,1210,24,148,0.7095774849196281,0.21640759601532983,0.3219126951243805,0.18498794715869946,1.6070667254853397,-0.17718418266029323,1.8168252396522793,4.017352104653327
True,0.6,0.85,last_10y,2016-05-04,2026-04-30,2428,54,230,0.7342816553405427,0.23798754484349005,0.27096147766833667,0.19029049245160226,1.3594649482278025,-0.19846281242803,1.3653010070417972,10.965815368677383
True,0.6,0.85,full_common,2010-09-29,2026-04-30,3785,82,345,0.7432323026139834,0.2373226091840963,0.29301494770933356,0.21294229548513516,1.3190538174493271,-0.31580022225863513,0.9278490864055162,54.85453553739745
True,0.6,0.9,last_1y,2025-05-06,2026-04-30,242,5,47,0.6802685950413223,0.1797520661157025,0.9888274996750295,0.19348584015112397,3.6212879651014145,-0.0718245032646101,13.767272375446444,1.965566092710602
True,0.6,0.9,last_3y,2023-05-04,2026-04-30,726,14,84,0.6237448440120525,0.19229089694015022,0.43510659613587865,0.19453175222079322,1.9612544007296293,-0.12792186195221633,3.4013466462707327,2.944704780574368
True,0.6,0.9,last_5y,2021-05-06,2026-04-30,1210,24,149,0.7083378154981406,0.21640759601532983,0.3270590050988289,0.18476407529988345,1.6299441038156017,-0.1771841826602919,1.8458702136289782,4.095890354851077
