cash_enabled,decay_threshold,recovery_threshold,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.45,1.0,last_5y,2021-05-06,2026-04-30,1210,17,80,0.776175428096655,0.2164021154453154,0.3258315335993278,0.19304024247522764,1.5633027122747023,-0.17287914287505635,1.8847359385325828,4.0770473266313
True,0.45,1.0,last_10y,2016-05-04,2026-04-30,2428,31,112,0.7882638983947169,0.23554148449795306,0.27397416018839826,0.1981595772692429,1.3252303039048399,-0.2589498624837706,1.0580201030443461,11.22821138728617
True,0.45,1.0,full_common,2010-09-29,2026-04-30,3785,49,183,0.7884342859578587,0.23714617461018225,0.29055713430386354,0.21976660727025052,1.2761468874663413,-0.3231903139617508,0.8990279774852741,53.25194331924884
True,0.5,0.7,last_1y,2025-05-06,2026-04-30,242,4,27,0.7949380165289256,0.19834710743801653,0.932044205838763,0.20320728531644425,3.3158613098208516,-0.08523104333511766,10.935501542250085,1.910393618865384
True,0.5,0.7,last_3y,2023-05-04,2026-04-30,726,11,59,0.6717248870481439,0.2005462254667102,0.4234634500664811,0.19893215651683566,1.8810070346653585,-0.12792186195221633,3.3103290055663885,2.8738530904684843
True,0.5,0.7,last_5y,2021-05-06,2026-04-30,1210,18,82,0.7780349322288863,0.22012112370977815,0.3215519367361266,0.19244268440713994,1.5506479668162783,-0.17718418266029368,1.8147891753555787,4.0118920285498945
True,0.5,0.7,last_10y,2016-05-04,2026-04-30,2428,38,125,0.7840179052856104,0.2386200542980358,0.2686002939382277,0.19741349017028492,1.3079724455142663,-0.2589498624837696,1.0372675674043386,10.764034506214736
True,0.5,0.7,full_common,2010-09-29,2026-04-30,3785,62,215,0.7807148650041913,0.238378380509046,0.2990161993377076,0.21830092856971883,1.3133086034533759,-0.32525154433746906,0.919338292295576,58.95925567538625
True,0.5,0.75,last_1y,2025-05-06,2026-04-30,242,4,28,0.7887396694214877,0.19834710743801653,0.948227550436165,0.20293286136142205,3.3609184398996854,-0.0778120580397399,12.186126087962995,1.9261206689011892
True,0.5,0.75,last_3y,2023-05-04,2026-04-30,726,11,60,0.6696587713456645,0.2005462254667102,0.42737233059056234,0.19885614190484793,1.8955277036162312,-0.12792186195221633,3.3408857881556018,2.897511686740486
True,0.5,0.75,last_5y,2021-05-06,2026-04-30,1210,18,83,0.7767952628073987,0.22012112370977815,0.32372815917550346,0.1923982466084551,1.5595650516845665,-0.17718418266029368,1.8270714367104155,4.044919372259678
True,0.5,0.75,last_10y,2016-05-04,2026-04-30,2428,38,126,0.7834001128638641,0.2386200542980358,0.2696420867175888,0.19739260463785446,1.3122682846028113,-0.2589498624837696,1.0412907121527797,10.852647924724232
True,0.5,0.75,full_common,2010-09-29,2026-04-30,3785,62,216,0.7803185638152877,0.238378380509046,0.299699791419028,0.21828853477585447,1.3157947922645203,-0.32525154433746906,0.9214400258406477,59.44462955589121
True,0.5,0.8,last_1y,2025-05-06,2026-04-30,242,4,34,0.7546487603305785,0.1797520661157025,1.0368536990219654,0.2009934382199023,3.611368939747293,-0.0718245032646101,14.43593275127949,2.0122088233513917
True,0.5,0.8,last_3y,2023-05-04,2026-04-30,726,11,66,0.6582951349820282,0.19434787835927217,0.44840115799165536,0.1982969712084816,1.9745345158412915,-0.12792186195221633,3.5052738534962087,3.0270162591366145
True,0.5,0.8,last_5y,2021-05-06,2026-04-30,1210,18,89,0.7699770809892169,0.21640211544531535,0.33539504762750605,0.19206678622269396,1.6078871329252156,-0.17718418266029368,1.8929175425920615,4.225707445032071
True,0.5,0.8,last_10y,2016-05-04,2026-04-30,2428,38,132,0.7800022545442595,0.2367666770327969,0.27521263871195933,0.19723566422625502,1.3354566664302614,-0.2589498624837696,1.0628027992453908,11.337708100767268
True,0.5,0.8,full_common,2010-09-29,2026-04-30,3785,62,222,0.7781389072763181,0.2371894769423353,0.30335160270574435,0.21819608580338562,1.3291927768213208,-0.32525154433746906,0.9326676782539666,62.101513173345
True,0.5,0.85,last_1y,2025-05-06,2026-04-30,242,4,34,0.7546487603305785,0.1797520661157025,1.0368536990219654,0.2009934382199023,3.611368939747293,-0.0718245032646101,14.43593275127949,2.0122088233513917
True,0.5,0.85,last_3y,2023-05-04,2026-04-30,726,11,66,0.6582951349820282,0.19434787835927217,0.44840115799165536,0.1982969712084816,1.9745345158412915,-0.12792186195221633,3.5052738534962087,3.0270162591366145
True,0.5,0.85,last_5y,2021-05-06,2026-04-30,1210,18,89,0.7699770809892169,0.21640211544531535,0.33539504762750605,0.19206678622269396,1.6078871329252156,-0.17718418266029368,1.8929175425920615,4.225707445032071
True,0.5,0.85,last_10y,2016-05-04,2026-04-30,2428,38,133,0.7793844621225132,0.2367666770327969,0.2745417619324342,0.19723115678118888,1.3328018479498067,-0.25894986248377005,1.0602120398872248,11.278275667772203
True,0.5,0.85,full_common,2010-09-29,2026-04-30,3785,62,223,0.7777426060874145,0.2371894769423353,0.3029121089474558,0.21819364308708963,1.3276505618159162,-0.32525154433746906,0.9313164356051922,61.775976125842426
True,0.5,0.9,last_1y,2025-05-06,2026-04-30,242,4,34,0.7546487603305785,0.1797520661157025,1.0368536990219654,0.2009934382199023,3.611368939747293,-0.0718245032646101,14.43593275127949,2.0122088233513917
True,0.5,0.9,last_3y,2023-05-04,2026-04-30,726,11,66,0.6582951349820282,0.19434787835927217,0.44840115799165536,0.19829697120848158,1.974534515841292,-0.12792186195221633,3.5052738534962087,3.0270162591366145
True,0.5,0.9,last_5y,2021-05-06,2026-04-30,1210,18,89,0.7699770809892169,0.21640211544531535,0.33539504762750605,0.19206678622269394,1.6078871329252158,-0.17718418266029368,1.8929175425920615,4.225707445032071
True,0.5,0.9,last_10y,2016-05-04,2026-04-30,2428,38,134,0.7787666697007668,0.2367666770327969,0.27388544760078526,0.19722688663026966,1.3302023769338136,-0.25894986248377005,1.0576775170828727,11.220404751558926
True,0.5,0.9,full_common,2010-09-29,2026-04-30,3785,62,224,0.777346304898511,0.2371894769423353,0.30248207470598576,0.21819133552548464,1.3261405820873038,-0.32525154433746906,0.9299942766517396,61.458992178678876
True,0.5,0.95,last_1y,2025-05-06,2026-04-30,242,4,34,0.7546487603305785,0.1797520661157025,1.0368536990219654,0.2009934382199023,3.611368939747293,-0.0718245032646101,14.43593275127949,2.0122088233513917
