date,lookback,return,asset_component,cash_component,trade_cost,turnover,holding,previous_holding,target,top_score,nav
2010-08-09,15,0.015429781141427457,0.015429781141427457,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,5.504533357028516,1.1177124399488718
2010-08-10,15,-0.03603283120646272,-0.03603283120646272,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,2.814235279855835,1.0774380962628305
2010-08-11,15,0.012153500002236362,0.012153500002236362,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,1.853881596985273,1.0905327401681704
2010-08-12,15,-0.01134686265324325,-0.01134686265324325,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.7548348267121547,1.0781586149466171
2010-08-13,15,0.01889976375295288,0.01889976375295288,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.5830231940735907,1.098535558057319
2010-08-16,15,0.022785054478370093,0.022785054478370093,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.8288022243563528,1.1235657505940817
2010-08-17,15,0.009818640403555179,0.009818640403555179,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,1.2175002860847435,1.1345976386689156
2010-08-18,15,-0.0014421218518628764,-0.0014421218518628764,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,1.5115933097041219,1.1329614106211192
2010-08-19,15,0.0021524816283990944,0.0021524816283990944,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,1.7160241222585022,1.1354000892431664
2010-08-20,15,-0.021412789944966537,-0.021412789944966537,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.9016276665720685,1.1110880056287062
2010-08-23,15,0.009610087664126299,0.009610087664126299,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.6584317519092432,1.1217656587653573
2010-08-24,15,0.01324571597971258,0.01324571597971258,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.6948726323889965,1.1366242480771584
2010-08-25,15,-0.019808130598399365,-0.019808130598399365,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.2700625121652794,1.1141098465299386
2010-08-26,15,0.006095187008470226,0.006095187008470226,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.13786290085426955,1.1209005543925166
2010-08-27,15,0.005086531226486057,0.005086531226486057,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.10050423860734098,1.1266020500642195
2010-08-30,15,0.026249369005552747,0.026249369005552747,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.2771895730006518,1.1561746429987674
2010-08-31,15,0.010621357766346762,0.010621357766346762,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.541204904201246,1.1684547875224356
2010-09-01,15,-0.012011120185446367,-0.012011120185446367,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.5863445178524186,1.1544203366382435
2010-09-02,15,0.022032730764413477,0.022032730764413477,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,1.0236235405185188,1.1798553691043574
2010-09-03,15,0.009088773832500951,0.009088773832500951,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,1.7815026075999216,1.1905788077092088
2010-09-06,15,-0.004456903443878724,-0.004456903443878724,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,2.3748190025874676,1.1852725129209205
2010-09-07,15,0.008595889505817578,0.008595889505817578,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,3.100109869092476,1.1954609844762716
