classification,version,sleeve,window,start,end,rows,years,cagr,annual_vol,sharpe_0rf,max_drawdown,na_reason
formal,V7.9,Sub-B,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.3079417516769978,0.18199969732400748,1.5727360315532832,-0.15495164487977553,
formal,V7.9,Sub-B,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.4416339646243588,0.19663165290494117,1.9703988103593975,-0.13647272296741209,
formal,V7.9,Sub-B,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.3700261657636914,0.21148934789213558,1.5947033522522347,-0.13647272296741186,
formal,V7.9,Sub-C,Full,2020-12-03,2026-08-25,1437,5.724845995893224,0.15332214998782856,0.1261853454328311,1.198333243052559,-0.18154485249467522,
formal,V7.9,Sub-C,10Y,,,0,,,,,,insufficient history
formal,V7.9,Sub-C,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.14317818298996876,0.12706314422592516,1.120981467698234,-0.18154485249467467,
formal,V7.9,Sub-C,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.25800829943538695,0.13307010168392824,1.8017273415912531,-0.09749900739539374,
formal,V7.9,Sub-C,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.2497094828825337,0.14357389063975323,1.623796336133084,-0.08116633899586057,
formal,V7.9,B50_C50,Full,2020-12-03,2026-08-25,1437,5.724845995893224,0.22728002282140602,0.13635996421555577,1.5767162349732906,-0.10154963883127799,
formal,V7.9,B50_C50,10Y,,,0,,,,,,insufficient history
formal,V7.9,B50_C50,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.2262361693790511,0.137898467001245,1.55430629846711,-0.10154963883127788,
formal,V7.9,B50_C50,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.3497360447073119,0.15387121527258935,2.0380641512580846,-0.10154963883127777,
formal,V7.9,B50_C50,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.31219080353919915,0.1645147141180515,1.7335760290265847,-0.10070936943882991,
proxy,V7.8,Sub-B,Full,2002-03-27,2026-08-25,6143,24.413415468856947,0.11696072389382373,0.11500951872756045,1.0210377170692657,-0.16933199365476748,
proxy,V7.8,Sub-B,10Y,2016-08-25,2026-08-25,2513,9.998631074606434,0.14576215070573428,0.11850289142132678,1.2109776863271116,-0.14096526949651755,
proxy,V7.8,Sub-B,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.16892406271653937,0.13285034866195786,1.246329049671951,-0.14096526949651755,
proxy,V7.8,Sub-B,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.27677316234261706,0.14860481026381514,1.7285542658489623,-0.09920950644408233,
proxy,V7.8,Sub-B,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.1736617666047615,0.15865137340169197,1.0883637087124094,-0.09083697690420689,
proxy,V7.8,Sub-C,Full,2007-06-01,2026-08-25,4839,19.23340177960301,0.09191176503470344,0.1151172365369748,0.8228489934000409,-0.2548016900399612,
