pair,pair_cn,direction,start,end,days,segment_return,win
SZ50/ZZ1000,上证50/中证1000,1,2023-12-21,2024-02-27,42,0.2579216756261,True
SZ50/ZZ1000,上证50/中证1000,-1,2024-02-28,2024-04-15,32,-0.0304931860821245,False
SZ50/ZZ1000,上证50/中证1000,1,2024-04-16,2024-05-06,12,-0.0258434707093132,False
SZ50/ZZ1000,上证50/中证1000,-1,2024-05-07,2024-05-22,12,-0.0244775435531393,False
SZ50/ZZ1000,上证50/中证1000,1,2024-05-23,2024-07-29,47,0.1080639720981091,True
SZ50/ZZ1000,上证50/中证1000,-1,2024-07-30,2024-08-22,18,-0.0460771845700728,False
SZ50/ZZ1000,上证50/中证1000,1,2024-08-23,2024-09-05,10,-0.0575630025608724,False
SZ50/ZZ1000,上证50/中证1000,-1,2024-09-06,2024-11-21,48,0.1467955545116051,True
SZ50/ZZ1000,上证50/中证1000,1,2024-11-22,2025-01-23,44,0.0138999452045742,True
SZ50/ZZ1000,上证50/中证1000,-1,2025-01-24,2025-03-19,33,0.0447898107153603,True
SZ50/ZZ1000,上证50/中证1000,1,2025-03-20,2025-05-06,30,0.0705189234262793,True
SZ50/ZZ1000,上证50/中证1000,-1,2025-05-07,2025-05-27,15,-0.0243748379108562,False
SZ50/ZZ1000,上证50/中证1000,1,2025-05-28,2025-06-04,5,-0.0228082123324029,False
SZ50/ZZ1000,上证50/中证1000,-1,2025-06-05,2025-09-01,63,0.1449959719376647,True
SZ50/ZZ1000,上证50/中证1000,1,2025-09-02,2025-09-23,16,-0.0127387402324876,False
SZ50/ZZ1000,上证50/中证1000,-1,2025-09-24,2025-10-10,7,-0.0037102305678253,False
SZ50/ZZ1000,上证50/中证1000,1,2025-10-13,2025-11-10,21,0.0233058799977294,True
SZ50/ZZ1000,上证50/中证1000,-1,2025-11-11,2025-11-21,9,-0.0533737978699253,False
SZ50/ZZ1000,上证50/中证1000,1,2025-11-24,2025-12-09,12,-0.0456849209782982,False
SZ50/ZZ1000,上证50/中证1000,-1,2025-12-10,2025-12-23,10,-0.0150808958977358,False
