variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
bias_decay40_rec70_x0.25,0.4,0.7,0.25,24.333888777198666,21.311596895314135,0.9932085644587922,-34.39822187518566,0.7074170538667509,9469.22370438799,57.14285714285714,606,134,0.02631578947368421,46,46,0.9802631578947368,-2.15704194602122,0.6925106689147356,-0.07129305530835506,-0.04750964052263862
bias_decay40_rec90_x0.00,0.4,0.9,0.0,23.79360769835559,21.28938006761288,0.9734766059097206,-34.16837524560099,0.6963634509199819,8635.132428401374,56.34920634920635,606,139,0.027297721916732128,46,46,0.9727022780832679,-2.6973230248642963,0.9223572984994064,-0.09102501385742667,-0.058563243469407666
bias_decay40_rec50_x0.00,0.4,0.5,0.0,23.723678229521706,21.3296068437882,0.9693873389355573,-34.16837524560099,0.6943168371043926,8532.377742179528,56.34920634920635,606,122,0.023959151610369208,46,46,0.9760408483896308,-2.76725249369818,0.9223572984994064,-0.09511428083159001,-0.060609857284996904
bias_decay40_rec60_x0.00,0.4,0.6,0.0,23.690618587532676,21.301516424141802,0.9691188732360129,-34.16837524560099,0.6933492862111647,8484.201433149756,56.34920634920635,606,133,0.026119402985074626,46,46,0.9738805970149254,-2.8003121356872107,0.9223572984994064,-0.09538274653113443,-0.06157740817822488
bias_decay40_rec80_x0.00,0.4,0.8,0.0,23.68006565330112,21.298207519287065,0.9688339447789543,-34.16837524560099,0.6930404352881782,8468.877106583812,56.34920634920635,606,135,0.026512175962293796,46,46,0.9734878240377062,-2.8108650699187656,0.9223572984994064,-0.09566767498819295,-0.06188625910121137
bias_decay40_rec70_x0.00,0.4,0.7,0.0,23.604250112716674,21.30062036173564,0.9658569888358589,-34.16837524560099,0.6908215548164118,8359.54579108355,56.34920634920635,606,134,0.02631578947368421,46,46,0.9736842105263158,-2.8866806105032126,0.9223572984994064,-0.09864463093128839,-0.0641051395729777
bias_decay50_rec90_x0.50,0.5,0.9,0.5,24.182959441878026,21.10823117228773,0.9949551374260025,-35.2543443318866,0.6859568629107986,9228.883074700074,55.952380952380956,606,265,0.05204241948153967,81,81,0.9739787902592302,-2.3079712813418602,-0.163611787786202,-0.0695464823411448,-0.06896983147859093
bias_decay50_rec80_x0.50,0.5,0.8,0.5,24.150295796034005,21.114599623270113,0.9934675444676793,-35.2543443318866,0.6850303488467013,9177.631390437087,55.952380952380956,606,259,0.05086410054988217,81,81,0.9745679497250589,-2.3406349271858815,-0.163611787786202,-0.07103407529946804,-0.0698963455426882
bias_decay50_rec70_x0.50,0.5,0.7,0.5,24.07509395593714,21.116719056643348,0.990506941608941,-35.2543443318866,0.6828972262054487,9060.651459259037,55.952380952380956,606,252,0.04948939512961508,81,81,0.9752553024351924,-2.4158367672827445,-0.163611787786202,-0.07399467815820626,-0.07202946818394085
bias_decay50_rec60_x0.50,0.5,0.6,0.5,24.052771370962624,21.12905442836773,0.9891972771235357,-35.2543443318866,0.6822640394196055,9026.19887688523,55.55555555555556,606,242,0.04752553024351924,81,81,0.9762372348782403,-2.438159352257262,-0.163611787786202,-0.07530434264361163,-0.07266265496978408
bias_decay50_rec90_x0.25,0.5,0.9,0.25,23.014369583121685,21.002230943647522,0.953696420474175,-35.339339640777354,0.6512393784677817,7553.131590207535,56.74603174603175,606,265,0.05204241948153967,81,81,0.9609681853888452,-3.4765611400982017,-0.24860709667695602,-0.11080519929297228,-0.10368731592160785
bias_decay50_rec80_x0.25,0.5,0.8,0.25,22.96619225493297,21.01046500578544,0.9515325842327156,-35.339339640777354,0.6498761009227445,7490.607778951633,56.74603174603175,606,259,0.05086410054988217,81,81,0.9618519245875884,-3.524738468286916,-0.24860709667695602,-0.11296903553443172,-0.10505059346664503
bias_decay50_rec70_x0.25,0.5,0.7,0.25,22.854620924444745,21.01310976389699,0.947100326448267,-35.339339640777354,0.6467189584401078,7347.67442671873,56.74603174603175,606,252,0.04948939512961508,81,81,0.9628829536527886,-3.636309798775141,-0.24860709667695602,-0.11740129331888027,-0.10820773594928168
bias_decay50_rec60_x0.25,0.5,0.6,0.25,22.82227950779996,21.028563110730563,0.9453019904923712,-35.339339640777354,0.6458037908966977,7306.723558937867,56.34920634920635,606,242,0.04752553024351924,81,81,0.9643558523173605,-3.668651215419928,-0.24860709667695602,-0.11919962927477612,-0.10912290349269183
bias_decay50_rec90_x0.00,0.5,0.9,0.0,21.83669456337709,20.976850599164408,0.9085379507078957,-35.426443947772945,0.6163953287428341,6156.763744616912,54.36507936507936,606,265,0.05204241948153967,81,81,0.9479575805184604,-4.654236159842796,-0.3357114036725477,-0.15596366905925163,-0.13853136564655544
bias_decay50_rec80_x0.00,0.5,0.8,0.0,21.773542901418864,20.986018367967468,0.9057515012611436,-35.426443947772945,0.6146127151096021,6089.197795247047,54.36507936507936,606,259,0.05086410054988217,81,81,0.9491358994501178,-4.717387821801022,-0.3357114036725477,-0.15875011850600373,-0.1403139792797874
bias_decay50_rec70_x0.00,0.5,0.7,0.0,21.62642862654305,20.988814489638596,0.8998741872977071,-35.426443947772945,0.6104600466935258,5934.484497664981,54.36507936507936,606,252,0.04948939512961508,81,81,0.950510604870385,-4.864502096676837,-0.3357114036725477,-0.16462743246944023,-0.1444666476958637
bias_decay50_rec60_x0.00,0.5,0.6,0.0,21.584808962275346,21.005251517374994,0.8976986047445776,-35.426443947772945,0.6092852275575985,5891.38778902878,53.96825396825397,606,242,0.04752553024351924,81,81,0.9524744697564808,-4.90612176094454,-0.3357114036725477,-0.16680301502256967,-0.14564146683179102
