trade_id,strategy,symbol,holding_code,pair,long_leg,short_leg,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
1,Sub-A-DK,DK_T0001,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2015-04-07,2015-04-08,1.0,1.0141213507709759,long,2,False
2,Sub-A-DK,DK_T0002,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2015-04-09,2015-04-13,1.0,1.0040250345824513,long,3,False
3,Sub-A-DK,DK_T0003,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-04-14,2015-04-29,1.0,0.9952334176038703,long,12,False
4,Sub-A-DK,DK_T0004,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2015-04-30,2015-05-07,1.0,0.9815079846386423,long,5,False
5,Sub-A-DK,DK_T0005,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,2015-05-08,2015-05-08,1.0,1.0131098706592951,long,1,False
6,Sub-A-DK,DK_T0006,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2015-05-11,2015-05-12,1.0,1.0209771246283437,long,2,False
7,Sub-A-DK,DK_T0007,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2015-05-13,2015-05-25,1.0,1.0062033212729793,long,9,False
8,Sub-A-DK,DK_T0008,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2015-05-26,2015-06-08,1.0,1.0371828379731305,long,10,False
9,Sub-A-DK,DK_T0009,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2015-06-09,2015-06-10,1.0,1.0292013070592587,long,2,False
10,Sub-A-DK,DK_T0010,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2015-06-11,2015-06-24,1.0,1.0235179128745402,long,9,False
11,Sub-A-DK,DK_T0011,HS300/CYB_1,HS300/CYB,沪深300,创业板,2015-06-25,2015-06-29,1.0,1.0337184581910648,long,3,False
