axis,param,bias_n,window,cagr,sharpe,max_dd,mom_day
bias_n,55,,full_common,27.34725174309782,1.1545342652072328,-37.25727494541819,20.0
bias_n,60,,last_3y,33.612982170554815,1.320319439176039,-17.372280746014805,20.0
bias_n,60,,last_5y,35.49019594887844,1.422466834799273,-17.372280746014855,20.0
bias_n,60,,last_10y,34.63692242855912,1.4279571017162762,-20.001780246453684,20.0
bias_n,60,,full_common,31.44947609091162,1.319936415339003,-31.65327882042654,20.0
bias_n,65,,last_3y,30.877195986512284,1.2175349171588998,-21.102149350278005,20.0
bias_n,65,,last_5y,36.261444177069535,1.4422554179296514,-21.102149350277948,20.0
bias_n,65,,last_10y,31.760608440523708,1.3145907463569064,-21.10214935027798,20.0
bias_n,65,,full_common,26.18883584905667,1.1143932039991553,-34.99209008326361,20.0
bias_n,70,,last_3y,23.770178740129456,0.9536949171541287,-23.071699275406882,20.0
bias_n,70,,last_5y,32.75187061868896,1.3085053276024217,-23.071699275406953,20.0
bias_n,70,,last_10y,32.68804967734742,1.3462648689890677,-23.071699275406907,20.0
bias_n,70,,full_common,26.37073131610248,1.1206263942528434,-36.70127546584065,20.0
bias_n,75,,last_3y,16.937964953074047,0.6929800534415352,-26.176253077235472,20.0
bias_n,75,,last_5y,25.826942254185337,1.0535570004995398,-26.176253077235533,20.0
bias_n,75,,last_10y,29.282339063232744,1.2216128217955453,-26.176253077235458,20.0
bias_n,75,,full_common,25.585871809317375,1.091491937920597,-30.283784877299087,20.0
bias_n,80,,last_3y,15.749555768683887,0.6432087095488874,-26.560095900019792,20.0
bias_n,80,,last_5y,22.99618630016913,0.9460006538505739,-26.560095900019686,20.0
bias_n,80,,last_10y,30.409803869567064,1.2694556083855357,-26.56009590001981,20.0
bias_n,80,,full_common,27.454696859335638,1.1641755730741818,-30.4234158099954,20.0
bias_n,85,,last_3y,12.052039384291602,0.4975357451271113,-28.120458433025735,20.0
bias_n,85,,last_5y,19.32835196380418,0.8117854976724735,-28.120458433025835,20.0
bias_n,85,,last_10y,26.194932694025084,1.1132124683543565,-28.12045843302568,20.0
bias_n,85,,full_common,24.290457006459842,1.0415926238162816,-28.12045843302578,20.0
bias_n,90,,last_3y,9.296373879332641,0.3803256052658593,-34.49529604215592,20.0
bias_n,90,,last_5y,16.095387492930314,0.6763054613896314,-34.49529604215593,20.0
bias_n,90,,last_10y,23.593958665152414,1.0065171660763748,-34.49529604215593,20.0
bias_n,90,,full_common,22.716155191748232,0.9767769585759963,-34.49529604215586,20.0
