scope_new,window,ma,days,start_new,end_new,n_days_new,annual_new,vol_new,sharpe_new,max_dd_new,calmar_new,total_return_new,annual_delta_new,sharpe_delta_new,max_dd_delta_new,signal_days_new,signal_days_pct_new,defense_days_new,defense_days_pct_new,switch_count_new,scope_old,start_old,end_old,n_days_old,annual_old,vol_old,sharpe_old,max_dd_old,calmar_old,total_return_old,annual_delta_old,sharpe_delta_old,max_dd_delta_old,signal_days_old,signal_days_pct_old,defense_days_old,defense_days_pct_old,switch_count_old
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,45,13,2023-05-04,2026-04-30,723,29.109430782934844,14.514090360662472,1.908030533339314,-10.769076919863796,2.703057188610276,114.65188190991849,1.5507574400177617,0.19316547987973998,1.4325355212859492,80,11.065006915629322,80,11.065006915629322,22,microcap_v1_0_costed_broad_own_volume_only_half,2023-05-04,2026-04-30,723,29.109430782934844,14.524138191814451,1.9067105535664264,-10.769076919863796,2.703057188610276,114.65188190991849,1.5507574400177615,0.1930318475705055,1.4325355212859492,80,11.065006915629322,80,11.065006915629322,22
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,50,13,2010-02-02,2026-04-30,3940,30.88823689421927,11.38384658652069,2.5139536651483514,-11.380932944868649,2.714033818127883,7811.4264252512185,-0.16734078495554883,0.05963266349075669,0.820679496281052,246,6.243654822335025,246,6.243654822335025,46,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,30.88823689421927,11.38529151215785,2.513634615249846,-11.380932944868649,2.714033818127883,7811.426425251218,-0.1673407849555488,0.0596250954136281,0.820679496281052,246,6.243654822335025,246,6.243654822335025,46
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,50,13,2016-05-03,2026-04-30,2426,32.135882891654056,13.15082725670314,2.2658924208295144,-11.380932944868672,2.8236598042819665,1518.2589957662678,0.29906438968074767,0.08851657652708633,0.8206794962810289,194,7.996702390766694,194,7.996702390766694,38,microcap_v1_0_costed_broad_own_volume_only_half,2016-05-03,2026-04-30,2426,32.135882891654056,13.153538487998146,2.265425370959392,-11.380932944868672,2.8236598042819665,1518.2589957662678,0.2990643896807476,0.0884983313292155,0.8206794962810289,194,7.996702390766694,194,7.996702390766694,38
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,50,13,2021-04-30,2026-04-30,1208,33.68481978329263,15.660570288096176,2.0127519598456836,-10.77628791341655,3.125827748287498,326.8980550542775,1.287977399447037,0.13503962270887548,1.4253245277331619,99,8.195364238410596,99,8.195364238410596,26,microcap_v1_0_costed_broad_own_volume_only_half,2021-04-30,2026-04-30,1208,33.68481978329263,15.667056339435804,2.011918694664104,-10.77628791341655,3.125827748287498,326.8980550542775,1.287977399447037,0.1349837172530705,1.425324527733162,99,8.195364238410596,99,8.195364238410596,26
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,50,13,2023-05-04,2026-04-30,723,29.37092832329511,14.495648735305908,1.9248331158081542,-10.76907691986383,2.7273394499689854,115.9543034233514,1.8122549803780288,0.20996806234858023,1.4325355212859154,87,12.033195020746888,87,12.033195020746888,22,microcap_v1_0_costed_broad_own_volume_only_half,2023-05-04,2026-04-30,723,29.37092832329511,14.5056837996683,1.9235015119712884,-10.76907691986383,2.7273394499689854,115.9543034233514,1.8122549803780288,0.2098228059753673,1.4325355212859154,87,12.033195020746888,87,12.033195020746888,22
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,53,13,2010-02-02,2026-04-30,3940,31.276544361208792,11.39477378933515,2.5386755157472094,-11.380932944868682,2.7481529425327507,8201.288901327329,0.22096668203397485,0.0843545140896147,0.8206794962810182,237,6.015228426395939,237,6.015228426395939,54,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,31.276544361208792,11.3962201019372,2.5383533283589275,-11.380932944868682,2.7481529425327507,8201.288901327329,0.2209666820339748,0.0843438085227097,0.8206794962810182,237,6.015228426395939,237,6.015228426395939,54
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,53,13,2016-05-03,2026-04-30,2426,32.77952467630703,13.165046378007705,2.3019256491148434,-11.380932944868704,2.880214199933957,1598.7567490149534,0.9427061743337184,0.1245498048124154,0.8206794962809969,189,7.790601813685079,189,7.790601813685079,46,microcap_v1_0_costed_broad_own_volume_only_half,2016-05-03,2026-04-30,2426,32.77952467630703,13.167760540778117,2.30145117201012,-11.380932944868704,2.880214199933957,1598.7567490149534,0.9427061743337184,0.1245241323799435,0.8206794962809969,189,7.790601813685079,189,7.790601813685079,46
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,53,13,2021-04-30,2026-04-30,1208,35.05462929952705,15.684761733949474,2.0777415945143116,-10.821260799832011,3.2394219072948727,349.2189279709122,2.6577869156814558,0.20002925737750354,1.3803516413177004,93,7.698675496688742,93,7.698675496688742,34,microcap_v1_0_costed_broad_own_volume_only_half,2021-04-30,2026-04-30,1208,35.05462929952705,15.69125780452575,2.076881424080216,-10.821260799832013,3.2394219072948727,349.2189279709122,2.657786915681456,0.1999464466691825,1.3803516413177004,93,7.698675496688742,93,7.698675496688742,34
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,53,13,2023-05-04,2026-04-30,723,31.99339584580838,14.544803279242386,2.0627287792952265,-10.015257329125804,3.1944656831499474,129.30784057211326,4.434722502891297,0.3478637258356525,2.186355112023941,78,10.78838174273859,78,10.78838174273859,24,microcap_v1_0_costed_broad_own_volume_only_half,2023-05-04,2026-04-30,723,31.99339584580838,14.554872372368935,2.061301778931213,-10.015257329125804,3.1944656831499474,129.30784057211326,4.434722502891297,0.347623072935292,2.186355112023941,78,10.78838174273859,78,10.78838174273859,24
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,55,13,2010-02-02,2026-04-30,3940,31.15917868261302,11.404256161884566,2.528508938697953,-11.380932944868627,2.7378404594380727,8081.592418708881,0.10360100343820378,0.07418793704035842,0.8206794962810733,251,6.370558375634518,251,6.370558375634518,52,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,31.15917868261302,11.405703678062496,2.5281880415662976,-11.380932944868627,2.7378404594380727,8081.592418708881,0.1036010034382037,0.0741785217300798,0.8206794962810733,251,6.370558375634518,251,6.370558375634518,52
