scope,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,14,2010-02-02,2026-04-30,3940,31.09446373734679,11.72818752425781,2.457495863373058,-11.745114420985214,2.6474381281283845,8016.286951278337,0.03888605817197188,0.0034863435368404083,0.4564980201644868,16,0.40609137055837563,16,0.40609137055837563,10
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,14,2016-05-03,2026-04-30,2426,31.915816362900262,13.601967219921976,2.182439914138314,-11.745114420985193,2.7173695563046825,1491.534115351325,0.07899786092695393,0.005512874508137866,0.45649802016450813,15,0.6183017312448474,15,0.6183017312448474,8
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,14,2021-04-30,2026-04-30,1208,32.481188813956784,16.303004109350493,1.8817804119760655,-11.745114420985203,2.7655063756485907,308.0256571332894,0.08434643011118936,0.0048454345650319475,0.45649802016450813,14,1.1589403973509933,14,1.1589403973509933,6
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,14,2023-05-04,2026-04-30,723,27.694589215213572,15.49896115678655,1.7221241961284153,-11.745114420985193,2.3579667445155907,107.69565892208179,0.13591587229648994,0.008445490132494182,0.45649802016455254,14,1.9363762102351314,14,1.9363762102351314,6
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,16,2010-02-02,2026-04-30,3940,31.10993639251629,11.728242916040662,2.458531133804248,-11.678963990527214,2.6637582252800422,8031.856146834109,0.0543587133414718,0.0045216139680301914,0.5226484506224871,10,0.25380710659898476,10,0.25380710659898476,8
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,16,2016-05-03,2026-04-30,2426,31.9257101081865,13.602256283794306,2.182969297680483,-11.678963990527237,2.733608060961685,1492.7270313709685,0.08889160621319192,0.006042258050306781,0.522648450622464,10,0.4122011541632316,10,0.4122011541632316,8
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,16,2021-04-30,2026-04-30,1208,32.50104552983339,16.30348482989391,1.8826896391561296,-11.67896399052718,2.7828706001829464,308.33148805335924,0.10420314598779612,0.00575466174509609,0.5226484506225315,9,0.7450331125827815,9,0.7450331125827815,6
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,16,2023-05-04,2026-04-30,723,27.726594795891856,15.499833308556344,1.7237227259151349,-11.678963990527203,2.3740628722188775,107.85133480508603,0.1679214529747739,0.010044019919213776,0.5226484506225422,9,1.2448132780082988,9,1.2448132780082988,6
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,18,2010-02-02,2026-04-30,3940,31.039420844174302,11.732719361065037,2.4528703804099767,-12.201612441149724,2.5438786057074227,7961.127083894555,-0.016156835000515457,-0.0011391394262409982,-2.3092638912203256e-14,4,0.10152284263959391,4,0.10152284263959391,4
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,18,2016-05-03,2026-04-30,2426,31.810402030127527,13.608547584459215,2.175347288714788,-12.201612441149734,2.607065433651005,1478.8738484797243,-0.02641647184578133,-0.0015797509153880895,-3.375077994860476e-14,4,0.16488046166529266,4,0.16488046166529266,4
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,18,2021-04-30,2026-04-30,1208,32.34383390083486,16.3108635948496,1.8743118361417728,-12.201612441149711,2.6507835793698775,305.91514615777055,-0.053008483010735574,-0.002623141269260776,0.0,4,0.33112582781456956,4,0.33112582781456956,4
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,18,2023-05-04,2026-04-30,723,27.47328522671053,15.512594696398855,1.709082884671233,-12.201612441149724,2.2516110357723997,106.62135400997795,-0.08538811620655196,-0.004595821324688165,2.1316282072803006e-14,4,0.5532503457814661,4,0.5532503457814661,4
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,20,2010-02-02,2026-04-30,3940,31.055577679174817,11.732485733190336,2.4540095198362177,-12.2016124411497,2.545202761435078,7977.281669509388,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,20,2016-05-03,2026-04-30,2426,31.83681850197331,13.608215383461818,2.176927039630176,-12.2016124411497,2.6092304320865214,1482.0379287001294,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,20,2021-04-30,2026-04-30,1208,32.396842383845595,16.310296795711064,1.8769349774110335,-12.201612441149711,2.655127962808247,306.72860448843767,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,20,2023-05-04,2026-04-30,723,27.558673342917082,15.511670620063573,1.713678705995921,-12.201612441149745,2.2586091367708003,107.03542543181123,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,22,2010-02-02,2026-04-30,3940,31.055577679174817,11.732485733190336,2.4540095198362177,-12.2016124411497,2.545202761435078,7977.281669509388,0.0,0.0,0.0,0,0.0,0,0.0,0
